브랜드,의류코드,리뷰,별점,작성일
모드나인,1037219,모드나인은 믿고 이용하는 브랜드입니다<br>좋아요,5,1일 전
모드나인,1037219,"사진은 2년 전이긴한데, 재구매할 정도로 잘 입었어요",5,1일 전
모드나인,1037219,필요해서 재구매했는데 좋네요 많이파세요 직이네요,5,3일 전
모드나인,1037219,필요해서 재구매했는데 좋네요 많이파세요 직이네요,5,3일 전
모드나인,1037219,너무 슬림도 아니고 너무 와이드도 아니라서 딱 좋네요,5,6일 전
모드나인,1037219,모드나인은 믿고 이용하는 브랜드입니다<br>좋아요,5,1일 전
모드나인,1037219,"사진은 2년 전이긴한데, 재구매할 정도로 잘 입었어요",5,1일 전
모드나인,1037219,필요해서 재구매했는데 좋네요 많이파세요 직이네요,5,3일 전
모드나인,1037219,필요해서 재구매했는데 좋네요 많이파세요 직이네요,5,3일 전
모드나인,1037219,너무 슬림도 아니고 너무 와이드도 아니라서 딱 좋네요,5,6일 전
모드나인,1037219,모드나인 펑크타운 인기 많은 이유를 받자마자 알았습니다<br>좋은 제품 좋은 가격에 구매 했습니다,5,6일 전
모드나인,1037219,항상 입을때마다 모드나인 바지 핏이 제일<br>마음에 드네요!,5,7일 전
모드나인,1037219,핏 좋습니다. 모두들 구매하세요~ 색상도 마음에 들어요,5,24.11.25
모드나인,1037219,인기많은건 인기많은 이유가 있네요 이쁩니다 사세요,5,24.11.05
모드나인,1037219,워싱이 진찌 예쁩니다 살 수 있을 때 사세요 강추추,5,24.11.04
모드나인,1037219,정말 좋네요 핏도 소재도 기본템으로 적합해요 추천해요,5,24.10.30
모드나인,1037219,다른 후기 그대로입니다 사고 후회는 안할듯하네요,5,24.10.24
모드나인,1037219,허벅돼한테 제격이네요!<br>청바지 난민에서 모드나인 mod4에 정착가능할 것 같습니다,5,24.10.23
모드나인,1037219,요즘 바지들 원단 느낌 하나없어서.. 결국 모드나인 바지로 다시 삿습니다. 굿.,5,24.10.18
모드나인,1037219,핏 좋습니다. 모두들 구매하세요~ 색상도 마음에 들어요,5,24.11.25
모드나인,1037219,인기많은건 인기많은 이유가 있네요 이쁩니다 사세요,5,24.11.05
모드나인,1037219,워싱이 진찌 예쁩니다 살 수 있을 때 사세요 강추추,5,24.11.04
모드나인,1037219,정말 좋네요 핏도 소재도 기본템으로 적합해요 추천해요,5,24.10.30
모드나인,1037219,다른 후기 그대로입니다 사고 후회는 안할듯하네요,5,24.10.24
모드나인,1037219,허벅돼한테 제격이네요!<br>청바지 난민에서 모드나인 mod4에 정착가능할 것 같습니다,5,24.10.23
모드나인,1037219,요즘 바지들 원단 느낌 하나없어서.. 결국 모드나인 바지로 다시 삿습니다. 굿.,5,24.10.18
모드나인,1037219,워싱이 너무 이쁘고 좋습니다. 모드나인 자주 애용해야겠네요,5,24.10.13
모드나인,1037219,기존 32사이즈 잘입다가<br>살이좀 쪄서 ㅋㅋ; 또 구매했습니다~<br>그만큼 만족도가 좋기에 또 구매한거죠^^,5,24.10.09
모드나인,1037219,사이즈도딱맞고 일단 바지가 너무이쁜거 같네요 여기 강추드립니다,5,24.10.08
모드나인,1037219,적당한 중청이에요~~ 길이가 좀더짧으면 좋겠네요,5,24.10.06
모드나인,1037219,사이즈감도 좋고 재질도 만족스럽습니다<br>가격대비 좋은듯 합니다,5,24.10.06
모드나인,1037219,편하게 입기 좋고 어느 옷이든 다 잘어울리는것같아요,5,24.10.06
모드나인,1037219,청바지 정말 좋습니다 잘 입을 수 있을 것 같습니다,5,24.10.02
모드나인,1037219,이가격에 이런품질이면 최고인거 같네요 또 구매예정 ㅎㅎ,5,24.09.26
모드나인,1037219,무난한 디자인이라 코디하기도 너무 좋고 이쁩니다,5,24.09.23
모드나인,1037219,무난한 청바지로 크롭하게 입기 좋은것같아요 기본템 추천합니다,5,24.09.22
모드나인,1037219,적당한 중청이에요~~ 길이가 좀더짧으면 좋겠네요,5,24.10.06
모드나인,1037219,사이즈감도 좋고 재질도 만족스럽습니다<br>가격대비 좋은듯 합니다,5,24.10.06
모드나인,1037219,편하게 입기 좋고 어느 옷이든 다 잘어울리는것같아요,5,24.10.06
모드나인,1037219,청바지 정말 좋습니다 잘 입을 수 있을 것 같습니다,5,24.10.02
