브랜드,의류코드,리뷰,별점,작성일
무신사스탠다드,2028327,바지 너무 편해서 진짜 막입기도 좋고<br>색감이 참 맘에드는 너무 연하지 않은 연청!!<br>강추,5,오늘
무신사스탠다드,2028327,산책할때 입는 바지... 그냥저냥 좋음 살짝 싼마이느낌 나긴하지만,5,오늘
무신사스탠다드,2028327,입으면서 점점 몸에 잘 맞고 그렇게 얇지 않아 좋아요!,5,오늘
무신사스탠다드,2028327,엉덩이쪽이 살짝 작은데 전반적으로 만족합니다,5,오늘
무신사스탠다드,2028327,원단도 좋고 핏도 너무이쁘네요<br>색상별로 구매했습니다,5,오늘
무신사스탠다드,2028327,바지가 너무 맘에 들어서 재구매 했어요 싸게 잘 샀네요,5,오늘
무신사스탠다드,2028327,바지 너무 편해서 진짜 막입기도 좋고<br>색감이 참 맘에드는 너무 연하지 않은 연청!!<br>강추,5,오늘
무신사스탠다드,2028327,산책할때 입는 바지... 그냥저냥 좋음 살짝 싼마이느낌 나긴하지만,5,오늘
무신사스탠다드,2028327,입으면서 점점 몸에 잘 맞고 그렇게 얇지 않아 좋아요!,5,오늘
무신사스탠다드,2028327,엉덩이쪽이 살짝 작은데 전반적으로 만족합니다,5,오늘
무신사스탠다드,2028327,원단도 좋고 핏도 너무이쁘네요<br>색상별로 구매했습니다,5,오늘
무신사스탠다드,2028327,바지가 너무 맘에 들어서 재구매 했어요 싸게 잘 샀네요,5,오늘
무신사스탠다드,2028327,사이즈도 딱 조아요 잘 산 거 같아요 사진이랑 똑같으늗,5,오늘
무신사스탠다드,2028327,짱짱하고 데일리로 너무 잘 입고 있습니다<br>허리가 조금 껴서 한번 교환해서 잘 입고 다니고 있습니다!!,5,오늘
무신사스탠다드,2028327,사이즈도 딱 맞고 색상도 넘 이쁘네요<br>자주 입을거 같아요~,5,오늘
무신사스탠다드,2028327,색깔 이뻐서 코디된대로 그대로 입어도 이뻐서 좋았습니다,5,오늘
무신사스탠다드,2028327,세번째 주문. 강아지 산책용으로 입기 좋다 으하하,5,1일 전
무신사스탠다드,2028327,잘 입고 다니고 있습니다<br>4계절용으로 딱이네요 물론 여름은 좀 힘들수도 ㅜ,5,1일 전
무신사스탠다드,2028327,"배송이 빠르고, 제가 하체 비만 뚱땡쓰인데 스타일도 이뻐요.",5,1일 전
무신사스탠다드,2028327,잘 입고 다니고 있습니다<br>4계절용으로 딱이네요 물론 여름은 좀 힘들수도 ㅜ,5,1일 전
무신사스탠다드,2028327,"배송이 빠르고, 제가 하체 비만 뚱땡쓰인데 스타일도 이뻐요.",5,1일 전
무신사스탠다드,2028327,세일할때마다 꾸준히 사고 있어요 편하게 입기 좋아요,5,1일 전
무신사스탠다드,2028327,그래도 입다보니 답답한거 적응된거같아요 잘입을게요,5,1일 전
무신사스탠다드,2028327,"무신사 스탠다드 스트레이트 데님 팬츠 [라이트 인디고]는 깔끔한 핏과 세련된 색감이 돋보이는 제품입니다.<br>스트레이트 핏으로 데일리 룩에 활용하기 좋습니다. 라이트 인디고 컬러는 은은한 워싱으로 자연스러우며, 산뜻한<br>분위기를 연출할 수 있습니다. 소재는 적당히 두께감이 있는 점 참고하세요. 가성비 제품으로 추천합니다.",5,1일 전
무신사스탠다드,2028327,무신사 스탠다드 스트레이트 데님 팬츠 [라이트 인디고]는 큰사이즈가 있어서 마음에 들었습니다. 착용감도<br>편안하고 은은한 워싱으로 자연스러움이 있습니다. 소재는 적당히 두께감이 있는 점 참고하세요. 가성비가 좋은<br>제품으로 추천합니다.,5,1일 전
무신사스탠다드,2028327,배송빠릅니다<br>가성비있게 구매했어요<br>색 예쁘고 한여름만 아니면 입기 좋아요,5,1일 전
무신사스탠다드,2028327,기장 색상 핏 다 너무 좋습니다<br>근데 기분 탓인지 색깔마다 같은 사이즈인데 묘하게 다른 느낌이이요,5,1일 전
무신사스탠다드,2028327,옷이 쫀쫀하니 이뻐요 워싱도 좋고 옷이 안늘어나서 관리하기 좋아요,5,1일 전
무신사스탠다드,2028327,옷이 핏도 이쁘고 색상도 이뻐요<br>하지만 허리에 비해 허벅지가 남자골반크기가 좀 타이트한 편입니다.<br>한치수 위로 사시는걸 추천드려요,5,1일 전
무신사스탠다드,2028327,오버핏이고 사이즈넉넉하고 두께도좋습니다. 무난합니다,5,1일 전
무신사스탠다드,2028327,무탠다드는 항상 편하고 가격대비 품질도 좋아서 기본템들 하나씩 사는 재미가 있습니다 최근에 너무 잘<br>입고있어요,5,1일 전
무신사스탠다드,2028327,보면 볼수록 바지 색상이 너무 예뻐서 마음에 듭니다.,5,1일 전
무신사스탠다드,2028327,보면 볼수록 바지 색상이 너무 예뻐서 마음에 듭니다.,5,1일 전
무신사스탠다드,2028327,두번째 무탠다드 벨트<br>오랫동안 가성비있게 잘써써<br>세일기간에 하나 더 구매...더보기,5,1일 전
무신사스탠다드,2028327,탄탄한 소재여서 좋아요<br>스판 섞이면 얇아지는데 편하기도 하고 색상도 예뻐요,5,1일 전
무신사스탠다드,2028327,너무 이쁘고 핏이 딱 떨어져서 좋아요 근데 기장은 좀 길어요,5,1일 전
무신사스탠다드,2028327,핏부터해서 넉넉한 사이즈까지도 준비된 무신사 최고입니다.,5,1일 전
무신사스탠다드,2028327,핏이쁘고 색깔도 이쁘고 가성비 좋은거 같습니다,5,1일 전
무신사스탠다드,2028327,한달동안 입고다니면서 정말 편했어요<br>기장감과 통 모두 좋습니다.,5,1일 전
무신사스탠다드,2028327,청바지 진짜 잘 안입는데 너무 편해서 자주 입게 돼요<br>핏도 적당히 루즈해서 입기 좋은듯합니다,5,1일 전
무신사스탠다드,2028327,스트레이트핏이 참 이쁘고 색감도 좋아요! 다리가 길어보이네요,5,1일 전
무신사스탠다드,2028327,무신사 다른 라인 청바지보다 허리가 살짝 작은것 같은데 그래도 괜찮아요. 생각보다 바지 통이 살짝 넓지만<br>입어보니 편하고 예쁘네요,5,1일 전
무신사스탠다드,2028327,입어보니 좀 두꺼운데 핏이 예쁘네요 여름빼고 잘 입을거 같네용,5,2일 전
무신사스탠다드,2028327,청바지 진짜 잘 안입는데 너무 편해서 자주 입게 돼요<br>핏도 적당히 루즈해서 입기 좋은듯합니다,5,1일 전
무신사스탠다드,2028327,스트레이트핏이 참 이쁘고 색감도 좋아요! 다리가 길어보이네요,5,1일 전
무신사스탠다드,2028327,무신사 다른 라인 청바지보다 허리가 살짝 작은것 같은데 그래도 괜찮아요. 생각보다 바지 통이 살짝 넓지만<br>입어보니 편하고 예쁘네요,5,1일 전
무신사스탠다드,2028327,입어보니 좀 두꺼운데 핏이 예쁘네요 여름빼고 잘 입을거 같네용,5,2일 전
무신사스탠다드,2028327,빳빳하고 색감도 좋고 전반적으로 만족하는 청바지 입니다.,5,2일 전
무신사스탠다드,2028327,데일리로 너무 잘 입고있음<br>핏도 만족스러운 핏이고 편함,5,2일 전
무신사스탠다드,2028327,한달동안 매주 한번씩은 꼭 입은 듯! 기본 바지로 너무 좋습니다!,5,2일 전
무신사스탠다드,2028327,꽤 많이 입고다녔습니다. 이것보다 약간 더 어두운 색상이었으면 좋겠지만..,5,2일 전
무신사스탠다드,2028327,사이즈 적정하고 저렴한 가격에 구매 잘한것같아요,5,2일 전
무신사스탠다드,2028327,이뻐요 가성비 미쳤어요 근데 후기보고 한사이즈업 했는데도 골반이랑 궁디가 낑겨요ㅠ 오리귱뎅이는 윱니다ㅠ,5,2일 전
무신사스탠다드,2028327,두번째 같은색으로 주문해서 입고있어요 편하고좋아요,5,2일 전
무신사스탠다드,2028327,디자인이랑 핏이 좋은데 스판이 살짝 부족한 느낌,5,2일 전
무신사스탠다드,2028327,핏 너무 맘에들고 색상 너무이뻐요 4계절 내내 입을 수 있을거 같습니다. 가격도 좋네요,5,2일 전
무신사스탠다드,2028327,편하게 입기좋고 옷퀄리티또한 좋은 가성비제품이네요,5,2일 전
무신사스탠다드,2028327,디자인이랑 핏이 좋은데 스판이 살짝 부족한 느낌,5,2일 전
