브랜드,의류코드,리뷰,별점,작성일
브랜디드,978464,너무너무 좋고 예쁘고 자주 입어서 좋아요 다음에 또 구매 할게요!!,5,오늘
브랜디드,978464,"똑같은 바지를 몇년 전에 사서 잘 입다가 살도 찌고 옷도 너무 더러워져서 새걸로 하나 구입했네요, 마침 블프여서<br>저렴하게 잘 샀습니다~",5,2일 전
브랜디드,978464,색감이 바닐라 아이스크림에 바닐라빈이 박혀있는 느낌이에요 두치수 크게사서 건조기에 수축 시켜입으니<br>딱이에요,5,7일 전
브랜디드,978464,전 두치수 크게사서 건조기에 수축시켜서 입었는데 사이즈 좋네요 색감이 아주 좋아여,5,7일 전
브랜디드,978464,색상 이쁘고 주름도 이쁘고 입기 너무 편한 바지입니다,5,24.11.24
브랜디드,978464,색감이 바닐라 아이스크림에 바닐라빈이 박혀있는 느낌이에요 두치수 크게사서 건조기에 수축 시켜입으니<br>딱이에요,5,7일 전
브랜디드,978464,전 두치수 크게사서 건조기에 수축시켜서 입었는데 사이즈 좋네요 색감이 아주 좋아여,5,7일 전
브랜디드,978464,색상 이쁘고 주름도 이쁘고 입기 너무 편한 바지입니다,5,24.11.24
브랜디드,978464,예전에 사고 한번 더 샀어요. 색상이 자연스럽고 부담스럽지 않아요,5,24.11.24
브랜디드,978464,세탁해두 이상없구 너무 만족스러워요<br>다음에도 구매할거같아요,5,24.11.23
브랜디드,978464,크롭한 기장감의 크림진.. 관리만 잘하면 깔끔룩에 최고에요 강추,5,24.11.22
브랜디드,978464,늘 사는 디자인입니다 색상은 매번 바뀌는거 같아요 이번건 커피 약간 첨가된 크림색이네요,5,24.11.22
브랜디드,978464,색감이 너무 좋아서 또 구매했어요 길이는 조금 슈선해야해요,5,24.11.21
브랜디드,978464,너무좋아요 ㅋㅋ<br>사이즈딱맞아요<br>색상이뻐요...더보기,5,24.11.13
브랜디드,978464,편안하게 잘 입고있습니다 사이즈도 잘 맞고 좋아요,5,24.11.11
브랜디드,978464,원래 입던 제품인데 재구매한거고 여전히 만족스럽습니다,5,24.11.10
브랜디드,978464,원래 입던 제품인데 재구매한거고 여전히 만족스럽습니다,5,24.11.10
브랜디드,978464,사이즈도 잘 맞고 좋아요 잘 입을 것 같습니다. 굿이이요,5,24.11.10
브랜디드,978464,핏 이쁘게 잘 나옵니다. 원단 좋아서 잘 안 늘어나요.,5,24.11.08
브랜디드,978464,핏도 색감도 기장도 모두 좋아요<br>가성비템으로 적극 추천드립니다,5,24.11.07
브랜디드,978464,색감도 너무 좋고 편하게 입을수 있어서 손이 자주 가는 제품입니다,5,24.11.04
브랜디드,978464,제품 핏이 너무 좋아서 손이 자주가는 제품입니다,5,24.11.04
브랜디드,978464,색감좋고 핏좋고 재구매상품인데 역시좋아요! 추천,5,24.11.04
브랜디드,978464,36사이즈 재입고됐길레 바로 샀습니다 역시 굳,5,24.10.31
브랜디드,978464,36사이즈 입고되어서 좋습니다~ 극락갑니다 역시 베스트셀러입니다,5,24.10.31
브랜디드,978464,예전에 샀었는데 좋아서 재구매했습니다 디자인이 조금 리뉴얼된부분이 잇지만 여전히 예쁘네요,5,24.10.29
브랜디드,978464,가격도 적당하고 심플하고 깔끔함 기본으로 입기좋음,5,24.10.28
브랜디드,978464,후회하지 않으실겁니다. 사이즈만 오프에서 실측하고 사세요,5,24.10.24
브랜디드,978464,색이 이쁘고 좋아요. 다른 칼라보가 스판끼가 작아요,5,24.10.21
브랜디드,978464,36사이즈 재입고됐길레 바로 샀습니다 역시 굳,5,24.10.31
