브랜드,의류코드,리뷰,별점,작성일
토피,858911,다리 두꺼우신 분들은 모어 와이드가 더 나을 거 같아요 그래도 나쁘지 않고 좋아요!!,5,오늘
토피,858911,색도 이쁘고 제가 원래 허벅돼라 좀 끼긴하지만 웬만한 제 신체 사이즈를 가지신 분들은 편하게 들어갈듯합니다<br>추천해요 ㅎ,5,오늘
토피,858911,두번째 구매입니다 너무 마음에 들어서 또 구매했어요,5,1일 전
토피,858911,입어보고 다른 바지도 여러개 주문했어요 이쁩니다,5,1일 전
토피,858911,진짜 제가 원하는 사이즈에 원하는 핏이 나와서 너무 좋았습니다,5,1일 전
토피,858911,핏 아주 좋아요 이가격애 청바지 고민하지말고 살만 합니다,5,2일 전
토피,858911,다리 두꺼우신 분들은 모어 와이드가 더 나을 거 같아요 그래도 나쁘지 않고 좋아요!!,5,오늘
토피,858911,색도 이쁘고 제가 원래 허벅돼라 좀 끼긴하지만 웬만한 제 신체 사이즈를 가지신 분들은 편하게 들어갈듯합니다<br>추천해요 ㅎ,5,오늘
토피,858911,두번째 구매입니다 너무 마음에 들어서 또 구매했어요,5,1일 전
토피,858911,입어보고 다른 바지도 여러개 주문했어요 이쁩니다,5,1일 전
토피,858911,진짜 제가 원하는 사이즈에 원하는 핏이 나와서 너무 좋았습니다,5,1일 전
토피,858911,핏 아주 좋아요 이가격애 청바지 고민하지말고 살만 합니다,5,2일 전
토피,858911,기장감은 좀 있어 수선해야합니다. 그것말고는 굉장히 만족합니다.,5,3일 전
토피,858911,두번째입니다~ 짱짱하고 삭이 이뻐서 계속 손이 가더라구요,5,4일 전
토피,858911,가성비좋게산가같아요<br>만족스럽네요 그럼이만,5,4일 전
토피,858911,기존에 입다고 해져서 바로 다시 시켰습니다!! 역시 좋습니다,5,4일 전
토피,858911,동생 사줬는데 너무 잘입고다니네요ㅎㅎ 색감이 이뻐서 한여름에 너무좋았어유,5,4일 전
토피,858911,역시 토피바지는 소재도 탄탄하고 가성비 좋은거 같습니당 ㅎㅎ 통이 너무 넓지도 않고 딱 좋아요,5,5일 전
토피,858911,한번 샀었는데 너무 오래입어서 또 샀습니다 가성비좋고 막입기<br>좋아요,5,5일 전
토피,858911,색도 너무 이쁘고 생각했던 핏이랑 거의 맞아서 잘 입겠습니다!,5,5일 전
토피,858911,원하던 핏과 색상입니다 기장은 조금 길어서 롤업하면 딱입니다!,5,6일 전
토피,858911,색감도 좋고 핏도 좋아요 너무 와이드 하지 않고 세미와이드핏 느낌입니더,5,6일 전
토피,858911,기존에 입다고 해져서 바로 다시 시켰습니다!! 역시 좋습니다,5,4일 전
토피,858911,동생 사줬는데 너무 잘입고다니네요ㅎㅎ 색감이 이뻐서 한여름에 너무좋았어유,5,4일 전
토피,858911,역시 토피바지는 소재도 탄탄하고 가성비 좋은거 같습니당 ㅎㅎ 통이 너무 넓지도 않고 딱 좋아요,5,5일 전
토피,858911,한번 샀었는데 너무 오래입어서 또 샀습니다 가성비좋고 막입기<br>좋아요,5,5일 전
토피,858911,색도 너무 이쁘고 생각했던 핏이랑 거의 맞아서 잘 입겠습니다!,5,5일 전
토피,858911,원하던 핏과 색상입니다 기장은 조금 길어서 롤업하면 딱입니다!,5,6일 전
토피,858911,색감도 좋고 핏도 좋아요 너무 와이드 하지 않고 세미와이드핏 느낌입니더,5,6일 전
토피,858911,가성비 청바지 그자체 디자인두 이뻐서 여기서만 구입해여,5,6일 전
토피,858911,다른 색상으로 두번째 구매입니다. 역시 핏이 너무 예쁩니다,5,6일 전
토피,858911,무난하고 가성비 좋아요. 많이 와이드하지 않아서 좋네요.,5,7일 전
토피,858911,청바지는 앞으로 이것만 살겁니다 핏 너무 마음에 들어용,5,7일 전
토피,858911,청바지는 앞으로 이것만 살겁니다 핏 너무 마음에 들어용,5,7일 전
토피,858911,배송도빠르고<br>색상이쁘고 핏도 좋아요<br>잘입겠습니다,5,7일 전
토피,858911,배송도빠르고<br>색상이쁘고 핏도 좋아요<br>잘입겠습니다,5,7일 전
토피,858911,청바지는 앞으로 이것만 살겁니다 핏 너무 마음에 들어용,5,7일 전
토피,858911,배송도빠르고<br>색상이쁘고 핏도 좋아요<br>잘입겠습니다,5,7일 전
토피,858911,배송도빠르고<br>색상이쁘고 핏도 좋아요<br>잘입겠습니다,5,7일 전
토피,858911,아들 사줬는데 잘 입고 다니네요.<br>핏도 예쁘고 편하다고 해요~,5,7일 전
토피,858911,핏이쁘고 좋았습니다<br>다른 색상도 추가구매했어요,5,7일 전
토피,858911,편안하고 라인 잘 빠져있고 기장 괜찮고 움직임도 불편하지 않습니드,5,7일 전
토피,858911,굳굳 좋아요 요즘 트렌드에 딱 맞는 핏입니다 아주 굳,5,7일 전
토피,858911,재질이 부드럽고 좋았어요. 사이즈 또한 맘에 들었어요,5,7일 전
토피,858911,기장이길어 수선했지만 그래도 마음에 쏙들어요,5,7일 전
토피,858911,L사이즈작아서 XL구매햇는데<br>역시나 딱맞네요 핏좋아요,5,7일 전
