브랜드,의류코드,리뷰,별점,작성일
페이탈리즘,1159065,페이탈리즘 바지를 자주 입는데 어울리는 옷도 많아서 좋아요,5,1일 전
페이탈리즘,1159065,튼튼하고 가볍고 좋아요 멋있고<br>늘 자주입는 무탠다드,5,1일 전
페이탈리즘,1159065,튼튼하고 가볍고 좋아요 멋있고<br>늘 자주입는 무탠다드,5,1일 전
페이탈리즘,1159065,배송 빨라서 좋었구 일자핏이라 무난하게 좋아요.,5,4일 전
페이탈리즘,1159065,길이조절 되서 너무 좋네요 수정이 필요없어요 좋아요,5,7일 전
페이탈리즘,1159065,생각보다 46사이즈랑 48사이즈 차이가 큽니다,5,7일 전
페이탈리즘,1159065,튼튼하고 가볍고 좋아요 멋있고<br>늘 자주입는 무탠다드,5,1일 전
페이탈리즘,1159065,튼튼하고 가볍고 좋아요 멋있고<br>늘 자주입는 무탠다드,5,1일 전
페이탈리즘,1159065,배송 빨라서 좋었구 일자핏이라 무난하게 좋아요.,5,4일 전
페이탈리즘,1159065,길이조절 되서 너무 좋네요 수정이 필요없어요 좋아요,5,7일 전
페이탈리즘,1159065,생각보다 46사이즈랑 48사이즈 차이가 큽니다,5,7일 전
페이탈리즘,1159065,기장 딱맞고 허리도 잘 맞습니다 오래 입을수 있을것 같네요~! 잘 입겠습니다.,5,24.11.22
페이탈리즘,1159065,바지 사이즈 핏 정말이뻐요😆정사이즈 입으시면 될것같아요,5,24.11.16
페이탈리즘,1159065,허리 32라 배가 나와서 딱맞지만 기장도 짧게도 나와서 기장 수선 안해도 되서 좋네요.,5,24.11.03
페이탈리즘,1159065,원하던 핏과 색감 그리고 착용감까지 딱히 흠잡을데가 없음,5,24.11.01
페이탈리즘,1159065,길이 딱맞고 사이즈도 딱맞아요 허벅지는 조금 끼긴하는데 나머지는 정말 다 잘맞아요 좋습니다,5,24.10.31
페이탈리즘,1159065,바지 기장 수선 안한게 처음인거 같아요 기장컷 혁명입니다,5,24.10.28
페이탈리즘,1159065,사이즈 잘 맞고 컬러도 이뻐요. 너무 너무 만족해요!,5,24.10.26
페이탈리즘,1159065,기장 수선 안하고 바로 입을 수 있어서 너무 좋아요!<br>덕분에 수선바 아꼈네요🤣,5,24.10.24
페이탈리즘,1159065,바지 기장 수선 안한게 처음인거 같아요 기장컷 혁명입니다,5,24.10.28
페이탈리즘,1159065,사이즈 잘 맞고 컬러도 이뻐요. 너무 너무 만족해요!,5,24.10.26
페이탈리즘,1159065,기장 수선 안하고 바로 입을 수 있어서 너무 좋아요!<br>덕분에 수선바 아꼈네요🤣,5,24.10.24
페이탈리즘,1159065,밑단 기장이 딱 맞네요. 긴것도 좋을것같아요 굿굿,5,24.10.21
페이탈리즘,1159065,기장 핏 모두 맘에 들어요. 셀비지 데님 사실분 강추!,5,24.10.04
페이탈리즘,1159065,기존에 있던 제품이 커져서 한치수 작은걸로 구매했는데 조금 달라진 느낌입니다. 입어봐야 알겠지만 현재로선<br>해당상품도 만족합니다,5,24.10.04
