브랜드,의류코드,리뷰,별점,작성일
모드나인,1037219,바지상표 이상없다더니 교체해서 주셨네요 이상없어서 5천원 교환배송비 달라하더니 더 적으려해도 막아둬서 말을못하겠네요,1,22.10.07
모드나인,1037219,로고 검수 안 하고 보내시죠?...  로고 검수 안 하고 보내시죠?... ,1,22.08.23
모드나인,1037219,구매한지 세달이 지났는데 청바지 특유의 냄새가 안빠져서 못 입고 있어요. 햇빛과 바람이 잘드는 베란다에 두달이상 내놨고 냉동실에 넣으면 효과가 있다길래 넣어놨는데 냄새는 그대로네요. 제 제품이 불량인건가요 ? 시간지나면 빠지겠지 하면서 베란다에 있는 청바지 볼때마다 페브리즈 종류 여러개 바꿔가며 뿌렸는데... ,1,22.03.21
모드나인,1037219,상품 사진과는 색깔이 좀 많이 다름. 상품이 배송왔는데 교환상품이 온 듯 얼룩이 묻은건지... ,1,22.03.09
모드나인,1037219,생각보다 색도 연하구 통이 너무커서 그럭저럭이네요,1,22.02.23
모드나인,1037219,워싱이랑 원단이 너무 별로 모드나인도 예전같지 않네요 퀄리티 급저하 된 듯,1,22.01.23
모드나인,1037219,개작아요.. 평소 29-30입는데 이건 31임에도 29느낌에 걍 전체적으로 다 조임,1,22.01.06
모드나인,1037219,가죽 패치가 아니라 좀 아쉽네요 무슨 탭인지 모르겠는데 불편해서 그냥 띠고 입어요 퀄리티가 이번건 별루인거 같아요 예전 느낌이 아닌데 입을게 없어 입어야겠어요...,1,21.12.11
모드나인,1037219,174/73 32 사이즈 잘 맞아요 평소 31-32 입습니다,1,21.07.23
모드나인,1037219,좋음좋음 괜춘한듯?ㅎㅎ ㄱㄴㄷㄻㅇㅈㅊㅋㅌㄵㄷ잘 모르겠어요 괜찮은듯합니다.ㅇ라아,1,21.05.28
모드나인,1037219,사이즈 색상 다 맘에드나 엉덩이라인에 빨간라벨(?)이 불량임 귀찮아서 입겠습니다,1,21.05.13
모드나인,1037219,한번 빨았는데 바지 왼쪽부분이 이렇게 돌아갔습니다. 빨았다고 이렇게 된거 같진 않은데 ...,1,21.04.07
모드나인,1037219,배송 최악입니다 하나는 제대로 왔는데 하나는 왠 속초에 있네요,1,21.01.22
모드나인,1037219,색깔이랑 재질 모두 사진이랑 똑같이 원하는대로네여 잘입겠습니다^^,1,20.11.23
모드나인,1037219,좋아요 허벅지가 조금 두꺼운데 스판이 있어서 불편하지 않네요 아주 마음에 듭니다,1,20.11.18
모드나인,1037219,세일할때 삿는데...후기를 좀 더 꼼꼼히 보고 살껄 싶네요. 같은 제품 같은 사이즈인데 누구는 짧다 누구는 길다. 사진으로만 봐도 들쭉날쭉인게 보입니다. 걸을때 엉덩이에서 북~북~마찰음이 계속나네요 ㅎ 다른바지는 전부 멀쩡한데 이바지만 유독 그러는걸... ,1,20.11.17
모드나인,1037219,최근에 산 청바지중에 최악 무릎튀나옴 중고같은 무릎 최악,1,20.11.04
모드나인,1037219,기장이 좀 기네요 조금만 더 짧았으면 했음 바램. 전체적으로 이쁘네요,1,20.11.01
모드나인,1037219,사진이랑 색감다르고 별로에요 환불하려헀는데 포장을 찢업ㅓ렸어요,1,20.10.24
모드나인,1037219,실제랑 사진이랑 좀 달라요 실제가 좀 더 밝아요. 참고하서요,1,20.10.19
모드나인,1037219,천 엄청 뻣뻣하고 이미지사진이랑 실제랑 색감차이나요 실제가 좀더 밝음,1,20.10.19
모드나인,1037219,색이 사진에 비해 밝아서 밝은중청이구요. 펑크타운은 밑위가 길고 엉덩이나 허벅지가커서 그쪽부근은 어벙벙하고 밑단은 좁아서 모내기핏 나옵니다. 반품기한놓쳐서 매물처리했어요.,1,20.10.15
모드나인,1037219,디자인은 마음에 드는데 좌우 길이가 좀 많이 다르네요,1,20.10.13
모드나인,1037219,어차피 수선해서 입을 예정이라 반품은 안 할 생각인데 오른쪽이 왼쪽에 비해 너무 길어요 좀 심한거 아닌가요,1,20.10.13
모드나인,1037219,상품이 오지도 않았는데 구매확정 해버리시고 별다른 말씀도 없이 9월28일에 주문했는데 10월8일 현재 물건 도착은 커녕 아직도 간선상차 이후 움직임 없는데 장난하시나요 짜증 나는데요?,1,20.10.08
모드나인,1037219,빨갛 가죽탭에서 나온 물이 이염되서 안없어짐 의류수거함에 넣어버림 돈버렸네,1,20.10.04
모드나인,1037219,"솔직히생각보다싼티나는워싱, 제기준 ㅍㅅㅇㅋ가더나은듯",1,20.10.02
모드나인,1037219,32사이즈에서 33으로 교환했어요 교환비 동봉했는데... ,1,20.09.21
모드나인,1037219,세탁 한번 했다고 이렇게 되나 다른 옷들도 물들어서 개열받네. 이거 보상 해주세요 이정도면 고객을 호.구. 로 보는거 아님? 한번 입고 버리라는 것도 아니고,1,20.08.18
모드나인,1037219,이 바지 처음에는 좋았는데 빨더니 다 빨갛게 되어서 못입겠어요 ㅠㅠ. 원래 바지가 이래요?,1,20.07.21
모드나인,1037219,딱 세일가 수준입니다 사이즈 실측은 맞지도 않고 워싱도 별로고... ,1,20.06.25
모드나인,1037219,사이즈가 작아서 교환 받았는데 별 차이가 없네요 교환 받는데 1주일이나 걸리고 교환 받은건 앞지퍼 부분 워싱 대충 돌린듯한 구린게 오고 앞으로 모나에서 바지 살일은 없을듯 가격 내리고 바지퀄까지 떨어진듯 세일가가 딱 적정수준인 바지임 정가 다주고 살 바지는 아님,1,20.06.25
모드나인,1037219,세탁하니까 온통 빨건색으로 도배됬습니다. 하... 진짜... 언제까지 빠지나볼려고 계속 세탁하는데 할때마다 빠지네요. 하...,1,20.06.14
모드나인,1037219,생각보다 크네요! 그리고 제 스타일은 아니에요.. 사고 입을 일이 없는 듯,1,20.06.02
모드나인,1037219,바지 옆라인이 한쪽만 틀어졌네요 포장은 버려서 교환도 안되네요,1,20.05.24
모드나인,1037219,뒤에 패치 원래 이렇게 비대칭인가요?불량인가ㅜㅜ,1,20.05.13
모드나인,1037219,불량교환인데 교환 전 상품보다 더 후진 워싱감에 색감..불량상품 받은 고객 품 확인하고 신경 좀 씁시다.. 아에 보도 않고 돌려막기 하지 말고요 .. 거진 3주만에 바지 하나 받네요 또 교환 보내자니 내 시간 아까워서 그냥 입어요 싸게사서 ...,1,20.03.13
모드나인,1037219,한번 빨았는데 허리 가죽 부분 색 다빠져서 못입게생겼네요,1,20.01.24
모드나인,1037219,리오더전에는 핏이 완벽했는데 리오더된후로는 바지가 너무 커졌네요... 보통 30~31입는데 28입어도 바지가 너무 크네요... 바지는 왜 또 이리 파랑파랑한지 여러개 시켜봤는데 개체차이는 생각보다 심하지는 않아요 단지 생각보다 너무 청청합니다 좀 어두운느낌이 나길 바랬는데,1,19.11.25
모드나인,1037219,색감이 너무 안나오네요.. 상세페이지랑 좀 다른듯...,1,19.11.23
모드나인,1037219,하체 마른사람 한테는 별로입니다 허벅지넘크게 나왓구 기대이하입니당,1,19.11.18
모드나인,1037219,믿지마시규 저 사진보다 밝아요. 하벅지가 너무 크게 나오네요 ㅜㅜ 워싱도 별로고 사진만큼 남들만큼 안찍힌거같은데 하두 많이팔려서 그런건 이해하지만 허벅지 얇은사람한테는 별로 핏이 이쁘게 안나옵니다~... ,1,19.11.18
모드나인,1037219,워싱도 별로고 왜 인기 많은지 모르겠고 하체얇은사람들이 사면 안될제품이네요 뭐 크게 나왓다는데 그리고 많이팔려서 워싱이 안찍혓다 뭐 이런말들 있는데 맞는거같네요 이해는하지만 제체형이 하체가 마른편이라 별로 네용 그리고 허리도 좀 작게나오는거같던데... ,1,19.11.18
모드나인,1037219,구매자마다 다르겠지만 핏 색상은 이쁨 하지만 가격에 비해 이염도 심하고 한번 세탁했는데 뒷주머니 실밥 다 터짐 98000원이라는 게 믿기지않음 없어서 못산다는데 왜 그런지 모르겠다. 이게 엄청 유명한 브렌드인가?,1,19.11.10
모드나인,1037219,좋은 개체로 운좋게 받으면 좋은 상품이네요 사이즈는 정 사이즈 추천드려요 워싱은 복불복이니 마음 졸이지 마시고 기도하시길,1,19.11.02
모드나인,1037219,핏은 좋은데 개체 차이때문에 운좋게 자기한테 맞는 사이즈가 와야 하네요 워싱도 좀 제각각 재생산하면서 초판이랑 좀 달라진듯 역시 보세 업체라 어쩔수없나봐요,1,19.11.02
모드나인,1037219,정 사이즈로 가세요 세일가 6발대로 구매해가 합리적이구요 그 이상은 좀 아쉽네요 브랜드를 넘을 수 없는 보세,1,19.11.02
모드나인,1037219,사이즈도 이상해지고 워싱도 제각각이네요 운빨인듯 합니다 주문하고 기도하시길 보세 바지 답네요 수량 장난은 수준이하구요,1,19.11.02
모드나인,1037219,두께감은 여름에 입기는 힘들겠네요 뚝 떨어지는 느낌은 좋네요 세일가 보세 바지 그자체,1,19.11.02
모드나인,1037219,세일가로 구매하기는 좋네요 보세 바지구요 파랑끼가 많이 돌아 다른 옷들이랑 맞춰입기 힘드네요... ,1,19.11.02
