브랜드,의류코드,리뷰,별점,작성일
브랜디드,978464,이제품도 제일작은사이즈인데 허리가 저한텐 많이큽니다 벨트 필수고 그리고 허리가 금방 너덜너덜해져요 좀더<br>작게 나왔으면~,0,24.10.25
브랜디드,978464,살쪄서 큰사이즈로 다시 샀는데<br>역시나 크림진은 브랜디드에요,0,24.10.21
브랜디드,978464,,0,24.10.12
브랜디드,978464,적당한 기장에 크림색이 독특하고 이쁜 바지입니다. 사이즈가 은근 타이트해서 한 치수정도만 더 크게 입어도<br>좋을것 같네요,0,24.09.29
브랜디드,978464,살쪄서 큰사이즈로 다시 샀는데<br>역시나 크림진은 브랜디드에요,0,24.10.21
브랜디드,978464,,0,24.10.12
브랜디드,978464,적당한 기장에 크림색이 독특하고 이쁜 바지입니다. 사이즈가 은근 타이트해서 한 치수정도만 더 크게 입어도<br>좋을것 같네요,0,24.09.29
브랜디드,978464,살이쪄서 한사이즈 업해서 추가로 주문했는데 좋습니다,0,24.09.27
브랜디드,978464,175/67 31~32... 32사이즈 허리 잘맞고 기장은 복숭아뼈 중간까지...딱 원하던 핏이에요.<br>원단은 코튼 트윌인거 같은데 신축성도 있어서 편하게 입을수 있을거 같아요.,0,24.09.26
브랜디드,978464,#무신사스탠다드 #쿨탠다드 #브랜디드 #크림진,0,24.09.20
브랜디드,978464,주문한지 꽤 됐는데 여전히 편하게 잘 입고있습니다<br>품이 넉넉한데도 핏이 괜찮게 나와요 ㅎ,0,24.09.19
브랜디드,978464,너무 작게 나오니까 다들 묻지도 따지지도 말고 사이즈 업해서 가셔용 그리고 제가 화이트진을 생각하고 사서<br>그런니 색감 생각했던 것보다 코디하기 어려워요,1,23.07.26
브랜디드,978464,과대평가된 옷입니다… 관리하기도 어렵고 핏도 별로에요,1,22.12.08
브랜디드,978464,과대평가된 옷입니다… 관리하기도 어렵고 핏도 별로에요,1,22.12.08
브랜디드,978464,사이즈 정확히 모르시는 분 교환하는데 이주 걸리니 참고하세요. 그리고 옷 점박이 박혀있는데 흰옷이라 갠적으로<br>거슬리네여,1,22.10.14
브랜디드,978464,점박이 거슬림 ㅋ 그리고 교환 환불 일처리 겁나 느림.,1,22.10.14
브랜디드,978464,과대평가된 옷입니다… 관리하기도 어렵고 핏도 별로에요,1,22.12.08
브랜디드,978464,과대평가된 옷입니다… 관리하기도 어렵고 핏도 별로에요,1,22.12.08
브랜디드,978464,사이즈 정확히 모르시는 분 교환하는데 이주 걸리니 참고하세요. 그리고 옷 점박이 박혀있는데 흰옷이라 갠적으로<br>거슬리네여,1,22.10.14
브랜디드,978464,점박이 거슬림 ㅋ 그리고 교환 환불 일처리 겁나 느림.,1,22.10.14
브랜디드,978464,같은브랜드 타제품 동사이즈 비교햇는데 너무작음 사이즈잘못온줄 못입겟는데 교환 돈달라해서 걍 다른사람줌,1,22.10.06
브랜디드,978464,너무 짧아요 제가 못입고 동생 줬습니다<br>동생은 마음에 들어하네요,1,22.09.20
브랜디드,978464,세탁하고 입으면 입을수록 줄어드는 바지.. 색은 ㄱㅊ은데 아쉽네여,1,22.09.03
브랜디드,978464,사이즈도딱맞고아주좋네요감사합니다.다음에도 구입해야겠습니다,1,22.04.05
브랜디드,978464,한 번 빨래하니까 바로 저렇게 되네요........ 불편하네요,1,22.04.04
브랜디드,978464,이쁠까해서 샀는데 사이즈가 넘 극과 극이라 반품비 들었네요 ㅠ 아까워서 그냥 입으려고 합니다,1,22.03.11
브랜디드,978464,사이즈가 너무 극과 극이라 조금 별로라고 생각합니다 반품비 아까워서 그냥 쓰려고요,1,22.03.11
브랜디드,978464,처음에 32 사이즈 주문했는데 너무 작아서 반품해서 34 받았는데 너무 큽니다.<br>사이즈가 너무 차이나서 좀 별로.,1,22.03.11
브랜디드,978464,32면 맞을 줄 알고 샀는데 너무 작네요 제 신체에는... 183에 83키로이구 환불 신청 하려고 했는데 군인이라서<br>확인을 늦게하는 바람에 2주가 지나서 환불을 못 했네요 ..,1,22.02.18
브랜디드,978464,허벅지랑 허리랑 작습니다.<br>밑위가 작아서 그런지 모르겠네요.<br>택을 떼서 그냥 입으려 합니다....더보기,1,22.02.10
브랜디드,978464,사이즈가 너무 극과 극이라 조금 별로라고 생각합니다 반품비 아까워서 그냥 쓰려고요,1,22.03.11
브랜디드,978464,처음에 32 사이즈 주문했는데 너무 작아서 반품해서 34 받았는데 너무 큽니다.<br>사이즈가 너무 차이나서 좀 별로.,1,22.03.11
브랜디드,978464,32면 맞을 줄 알고 샀는데 너무 작네요 제 신체에는... 183에 83키로이구 환불 신청 하려고 했는데 군인이라서<br>확인을 늦게하는 바람에 2주가 지나서 환불을 못 했네요 ..,1,22.02.18
브랜디드,978464,허벅지랑 허리랑 작습니다.<br>밑위가 작아서 그런지 모르겠네요.<br>택을 떼서 그냥 입으려 합니다....더보기,1,22.02.10
브랜디드,978464,"문의드립니다 이바지 원래 검은색 문의가 박혀있나요??,",1,21.12.10
브랜디드,978464,대체로 별로 입니다.상품평 및 후기 보고 샀는데<br>밑위가 짧아서 다리가 짧아보이고 색감도 이상하고 다리 총기장도 짧음,1,21.11.17
브랜디드,978464,얇은 다리는 슬림핏 입어야겠네요. 핏이야 어쩔 수 없지만 이 바지 신축성이라곤 찾아볼 수 없네요. 세탁시<br>줄어듭니다. 왜 인기 있는지 모르겠네요.,1,21.09.26
