브랜드,의류코드,리뷰,별점,작성일
페이탈리즘,1159065,처음 받았을 때 딱 좋았는데 한 번 빨았더니 3cm가 줄어 크롭진이 되어버린🥲,0,24.09.29
페이탈리즘,1159065,제가 이거 세번인가 샀고 또 믿고 샀습니다.<br>이번에산건 가만히 입고만 있었는데 물빠짐 심해서 저녁에 집에돌아오니 하얀옷이 시퍼렇게 색변했습니다<br>선물받은 소중한 티셔츠였는데.......더보기,1,24.08.09
페이탈리즘,1159065,0214 0199 0198 세재품 구매했습니다.<br>실측기장은 103으로 세재품 모두 동일한데 0199 0198제품이 0214보다 3CM가량 기네요?<br>개체 문제인가요? 해당건에대한 문의를 드리고싶어도 고객센터 번호는 연결도 안되는 번호를 올려놓으...더보기,1,24.03.28
페이탈리즘,1159065,저의 불찰이지만 물빠짐 관련 후기가 많아서 수령하고 바로 뒤집어서 세탁하자마자.. 그냥 다른바지가<br>되어버리네요.. 인디고?재질 바지 특성이 그렇다네요,1,23.10.16
페이탈리즘,1159065,일단 인디고? 성질 제품을 처음 구매해보고 물빠짐 있다고해서 저의 잘못으로 세탁망에 뒤집어서 기계세탁을<br>하였지만<br>제품이 그냥 망가져버리네요 ㅎㅎ...더보기,1,23.10.16
페이탈리즘,1159065,핏도 좋고 다 좋은데 이염이 너무 심해서 입을수가 없어요,1,23.05.03
페이탈리즘,1159065,처음 받았을 때 딱 좋았는데 한 번 빨았더니 3cm가 줄어 크롭진이 되어버린🥲,0,24.09.29
페이탈리즘,1159065,제가 이거 세번인가 샀고 또 믿고 샀습니다.<br>이번에산건 가만히 입고만 있었는데 물빠짐 심해서 저녁에 집에돌아오니 하얀옷이 시퍼렇게 색변했습니다<br>선물받은 소중한 티셔츠였는데.......더보기,1,24.08.09
페이탈리즘,1159065,0214 0199 0198 세재품 구매했습니다.<br>실측기장은 103으로 세재품 모두 동일한데 0199 0198제품이 0214보다 3CM가량 기네요?<br>개체 문제인가요? 해당건에대한 문의를 드리고싶어도 고객센터 번호는 연결도 안되는 번호를 올려놓으...더보기,1,24.03.28
페이탈리즘,1159065,저의 불찰이지만 물빠짐 관련 후기가 많아서 수령하고 바로 뒤집어서 세탁하자마자.. 그냥 다른바지가<br>되어버리네요.. 인디고?재질 바지 특성이 그렇다네요,1,23.10.16
페이탈리즘,1159065,일단 인디고? 성질 제품을 처음 구매해보고 물빠짐 있다고해서 저의 잘못으로 세탁망에 뒤집어서 기계세탁을<br>하였지만<br>제품이 그냥 망가져버리네요 ㅎㅎ...더보기,1,23.10.16
페이탈리즘,1159065,핏도 좋고 다 좋은데 이염이 너무 심해서 입을수가 없어요,1,23.05.03
페이탈리즘,1159065,역대급 이염이네요 택을 뜯어서 환불을 못하는게 아쉬워요ㅠ 물빠짐 엄청납니다,1,23.05.01
페이탈리즘,1159065,42사이즈 주문 후 작아서 46사이즈로 교환함.<br>앱에서 교환접수 안되서 고객센터 전화해서 접수하고 교환받음.<br>42사이즈는 워싱처리되어있고 뒷주머 로고도 있어서 이뻣는데 교환 후 새로받은 바지는 워싱이 안되있...더보기,1,23.04.06
페이탈리즘,1159065,많은 생지 데님을 입어봤으나 이렇게까지 색이<br>잘 빠지는 데님은 처음이네요. 이염에 조심해야합니다,1,23.04.05
페이탈리즘,1159065,남친에게 선물했으나 도저히 단추가 잠궈지지 않는다 하여 제가 입어보았습니다. 저두 안잠궈져요..오히려<br>골반없이 날씬한 남자분이 입으셔야 할 듯해요. 앉을 수가 없고... 계륵처럼 옷장 한구석에 남겨져있습니다. 이거<br>왜이렇게 순위가 높은거죠? 옷이 너무 빳빳한데..,1,23.03.22
페이탈리즘,1159065,평생 청바지 입으면서 이렇게 물빠짐 심한 바지는 처음이네요<br>,1,23.03.07
페이탈리즘,1159065,절대 사지마세요 5번 물에 헹궈도 여전히 이염심합니다,1,22.12.27
페이탈리즘,1159065,바지가 물이 너무많이빠져서 손세탁을 여러번했어요.<br>다른 바지에비해서 별로입니다.,1,22.12.05
페이탈리즘,1159065,이염이 너무 심합니다..다리에 푸르딩딩 다묻고 윗옷에도 다 이염되네요...,1,22.11.28
페이탈리즘,1159065,이염이 너무 심해요<br>핏은 정 일자핏 사이즈는 보통입니다...더보기,1,22.10.10
페이탈리즘,1159065,남친에게 선물했으나 도저히 단추가 잠궈지지 않는다 하여 제가 입어보았습니다. 저두 안잠궈져요..오히려<br>골반없이 날씬한 남자분이 입으셔야 할 듯해요. 앉을 수가 없고... 계륵처럼 옷장 한구석에 남겨져있습니다. 이거<br>왜이렇게 순위가 높은거죠? 옷이 너무 빳빳한데..,1,23.03.22
페이탈리즘,1159065,평생 청바지 입으면서 이렇게 물빠짐 심한 바지는 처음이네요<br>,1,23.03.07
페이탈리즘,1159065,절대 사지마세요 5번 물에 헹궈도 여전히 이염심합니다,1,22.12.27
페이탈리즘,1159065,바지가 물이 너무많이빠져서 손세탁을 여러번했어요.<br>다른 바지에비해서 별로입니다.,1,22.12.05
페이탈리즘,1159065,이염이 너무 심합니다..다리에 푸르딩딩 다묻고 윗옷에도 다 이염되네요...,1,22.11.28
페이탈리즘,1159065,이염이 너무 심해요<br>핏은 정 일자핏 사이즈는 보통입니다...더보기,1,22.10.10
페이탈리즘,1159065,숏버젼구매 가름솔끝밑단부분말린상태서제단되있고 앞포켓부터 주머니끝부분까지다울고있네요 핏도<br>엉망입니다.. 제품특성상 밑위 너무길어 치수업해도 불편해서 쓸려요. 걷는데도 불편하네요 마른사람이 젤<br>작은사이즈만 구매하시길..,1,22.09.21
페이탈리즘,1159065,이쁘긴 한데 사이즈도 좀 작고 이염이 너무 심하네요,1,22.09.19
페이탈리즘,1159065,음 -8cm 좀 기장감이 마음에 안듭니다 걍 숏버전말고 사세요,1,22.08.24
페이탈리즘,1159065,여름에 입기엔 너무 두껍고 바지 핏도 이상해요.. 허리도 31 32인치 정도 되는거 같고 8센치 줄인 버전으로<br>샀는데도 너무 길어요.. 애매한 와이드 팬츠느낌,1,22.08.01
페이탈리즘,1159065,음 -8cm 좀 기장감이 마음에 안듭니다 걍 숏버전말고 사세요,1,22.05.07
페이탈리즘,1159065,진짜 사이즈 너무 확차이나고 입지도못할거같네요. 처음에 34시켰는데 무슨 엄청난 통바지가와서 뭐지 하고<br>바꿨는데 32는 무슨 쫄바지에요 ㅡㅡ 사이즈 차이가 이렇게 날수있나요. 환불시기도 놓쳐서 그냥 돈버렸네요.,1,22.04.06
페이탈리즘,1159065,"옷이랑 신발 다 시퍼래졌어요 이염이 진짜 심각할 정도로...<br>검은옷, 검은신발이랑 입을거 아니면 절대 사지 마세요",1,22.02.15
페이탈리즘,1159065,생지 데님이 색깔이 많이 빠진다는건 알고있지만 이건 너무 많이 빠지는거 같은데... 원래 이런가요?<br>첫날에는 옷 입어봤을 뿐인데 손에서 파란 물 나오고<br>입은지 2주 좀 넘었는데 아빠다리하고 앉아있었더니 양말이 새파랗게 되는데... 이게 맞나?...더보기,1,22.02.11
페이탈리즘,1159065,음 -8cm 좀 기장감이 마음에 안듭니다 걍 숏버전말고 사세요,1,22.05.07
페이탈리즘,1159065,진짜 사이즈 너무 확차이나고 입지도못할거같네요. 처음에 34시켰는데 무슨 엄청난 통바지가와서 뭐지 하고<br>바꿨는데 32는 무슨 쫄바지에요 ㅡㅡ 사이즈 차이가 이렇게 날수있나요. 환불시기도 놓쳐서 그냥 돈버렸네요.,1,22.04.06
페이탈리즘,1159065,"옷이랑 신발 다 시퍼래졌어요 이염이 진짜 심각할 정도로...<br>검은옷, 검은신발이랑 입을거 아니면 절대 사지 마세요",1,22.02.15
페이탈리즘,1159065,생지 데님이 색깔이 많이 빠진다는건 알고있지만 이건 너무 많이 빠지는거 같은데... 원래 이런가요?<br>첫날에는 옷 입어봤을 뿐인데 손에서 파란 물 나오고<br>입은지 2주 좀 넘었는데 아빠다리하고 앉아있었더니 양말이 새파랗게 되는데... 이게 맞나?...더보기,1,22.02.11
페이탈리즘,1159065,원단과 염색의 문제인지 아니면 기술력이 부족한건지<br>아니면 유일하게 저한테온 제품만 이상한건지<br>어떻게 상품평에 이염에대한 언급이 단 한개도 없어서 참 의아합니다....더보기,1,22.01.27
페이탈리즘,1159065,원단과 염색의 문제인지 아니면 기술력이 부족한건지<br>아니면 유일하게 저한테온 제품만 이상한건지<br>어떻게 상품평에 이염에대한 언급이 단 한개도 없어서 참 의아합니다....더보기,1,22.01.27
페이탈리즘,1159065,"상품이 저만 그런건지 모르겠는데 이염이 너무 쉽게 돼요ㅜㅜ<br>벌써 베이지색 니트랑 흰색 스니커즈에 파란물로 이염돼서 세탁 두번이나 했어요..<br>진짜 그냥 입고돌아다니기만 했는데도,...더보기",1,22.01.25
페이탈리즘,1159065,혹시 저만 물빠짐 있는건가요? 위에 입은 흰색티랑 양말 신발까지 전부 파랗게 물들어 버렸습니다.,1,22.01.24
페이탈리즘,1159065,밑위가 작아서 의자 앉으면 껴요 별로입니다 추천ㅡ안해요,1,22.01.13
페이탈리즘,1159065,재구매인데 이전에 팔던 제품보다 퀄리티가 훨씬 떨어지네요. 허리 사이즈도 44에 비해 차이가 별로 안나네요,1,21.12.18
페이탈리즘,1159065,"페이탈리즘 바지를 7개째? 샀는데, 처음 실망했습니다..<br>디자인 색감은 좋은데 평소랑 다르게 봉제 디테일퀄리티가 많이 별로였고<br>단추편의성? (단추 잠그고 푸는데 손가락 개아픔) 또한 좋지 않았습니다.....더보기",1,21.12.03
페이탈리즘,1159065,물빠져서 1번입고 걍 버렸음<br>돈 아깝다못해 버린기분,1,21.11.15
페이탈리즘,1159065,물빠짐이 진짜 심해요 있다고쓰여있지만<br>이정도일줄은 몰랐어요 세탁 3번해도 계속빠지네요,1,21.10.27
페이탈리즘,1159065,핏은 좋고 예뻐요 다만 하루 시착 2시간 3시간 입었는데 무릎 부위가 저렇게 늘어 납니다.<br>청바지를 여러 브랜드 입어봤지만 보세보다 퀄리티가 떨어지네요 매우 실망입니다<br>청바지 한번 입고 바로 폐기 할 예정 입니다,1,21.10.24
페이탈리즘,1159065,"페이탈리즘 바지를 7개째? 샀는데, 처음 실망했습니다..<br>디자인 색감은 좋은데 평소랑 다르게 봉제 디테일퀄리티가 많이 별로였고<br>단추편의성? (단추 잠그고 푸는데 손가락 개아픔) 또한 좋지 않았습니다.....더보기",1,21.12.03
페이탈리즘,1159065,물빠져서 1번입고 걍 버렸음<br>돈 아깝다못해 버린기분,1,21.11.15
페이탈리즘,1159065,물빠짐이 진짜 심해요 있다고쓰여있지만<br>이정도일줄은 몰랐어요 세탁 3번해도 계속빠지네요,1,21.10.27
페이탈리즘,1159065,핏은 좋고 예뻐요 다만 하루 시착 2시간 3시간 입었는데 무릎 부위가 저렇게 늘어 납니다.<br>청바지를 여러 브랜드 입어봤지만 보세보다 퀄리티가 떨어지네요 매우 실망입니다<br>청바지 한번 입고 바로 폐기 할 예정 입니다,1,21.10.24
페이탈리즘,1159065,핏이 생각한 핏이 아니네요<br>아쉬워요<br>엉덩이 폼부분 커요,1,21.10.17
페이탈리즘,1159065,왼쪽 바지가 자꾸 돌아감ㅋㅋ 다리이상하게보임 ㅜㅜ 왜불량이냐 내꺼,1,21.10.05
페이탈리즘,1159065,가을 날씨에 입고다니기 좋은 제품입니다. 다만 제가 받은 바지는 옷감이 다소 문제가 있어 불만족스러웠습니다.,1,21.09.04
페이탈리즘,1159065,제품을 받았는데 무릎부분에 옷감이 손상된건지 얼룩인지 뚜렷하게 티가 나는 상품이 와서 불만족스럽습니다.,1,21.09.04
페이탈리즘,1159065,저와는 전혀 맞지 않아서 친구 줬는데 친구는 이쁘네여,1,21.05.05
페이탈리즘,1159065,화면에서 보는거랑 실제로 보는것하고 다르네요,1,21.04.28
페이탈리즘,1159065,무신사에서 사진 후기 처음 남기네요. 지난 주말에 줄이고 오늘 처음 입으니 사진과 같이 이 부분이 떨어졌습니다.<br>이미 줄였고 에이에스 번거로움 때문에 그냥 꿰매서 입긴 할텐데 오래 입긴 힘든 바지라는 생각이 드네요. 품질<br>관리 필요한 것 같습니다.,1,21.03.31
페이탈리즘,1159065,내가 낮은 평점을 주는 이유<br>1. 상품이 예쁘지 않음...더보기,1,21.03.20
페이탈리즘,1159065,허벅지에 비해 엉덩이랑 허리가 너무커서 삼포가 떠벌임.. 가랑이 사이 삼위일체 첫코어템이 삼위일체 아니면<br>가지마셈,1,21.03.18
페이탈리즘,1159065,물빠짐 너무 심해서 소금물에 한번 빨았음에도 신발 다버렸습니다 개선해주세요,1,21.02.27
페이탈리즘,1159065,화면에서 보는거랑 실제로 보는것하고 다르네요,1,21.04.28
