브랜드,의류코드,리뷰,별점,작성일
무신사스탠다드,2028327,그럴 일 없겠지만 이 후기 좋아요 1k 넘으면 사진 속에 들고 있던 치마 구입하고 입은 사진 올리도록,5,22.10.08
무신사스탠다드,2028327,핏감 색감 너무 좋습니다.,5,23.01.28
무신사스탠다드,2028327,색감이랑 핏이 너무 이뻐요 여름에 자주입을꺼 같아요,5,22.05.22
무신사스탠다드,2028327,무신사스탠다드 스트레이트 데님 팬트 가성비 좋아요,4,22.08.30
무신사스탠다드,2028327,무신사스탠다드 스트레이트 데님 팬트 가성비 좋아요,4,22.08.30
무신사스탠다드,2028327,무탠다드는 믿고 살 수 있어서 좋아요 바지도 맘에 듭니다,5,22.05.27
무신사스탠다드,2028327,밑위가 짧아 다리가 길어 보입니다. 블랙진 사고 너무 마음에 들어서 밝은색으로 구매 한번 더 했습니다. 허벅지,4,21.08.20
무신사스탠다드,2028327,약간짧아서 말아올리기도 펴기도 애매해서 내려입습니다,5,22.11.19
무신사스탠다드,2028327,색감도 괜찮고 사이즈도 딱 정핏이라 벨트 할 필요 없이 입을 수 있었구 엉덩이 허벅지가 딱 맞긴해도 입으니까,5,22.06.02
무신사스탠다드,2028327,"저한테 맞는 바지 찾는게 쉽지 않은데, 제가 찾던 세미 와이드 핏, 여기 있었네요.^^~!",5,21.08.12
무신사스탠다드,2028327,핏이나 퀄리티는 좋은데 기장이 조금 짧아 짱뚱한 느낌이나서 아쉬워요 ㅠ 기장 긴 버전도 잇으면 좋겠습니다,4,21.08.12
무신사스탠다드,2028327,여름에 너무 풋풋한 느낌내기 좋은것 같아요. 바지 통도 넓어서 불편한 느낌도 없네요~~,5,22.05.27
무신사스탠다드,2028327,저렴하게 사서 페인팅하려고 샀는데 만족합니다!!,5,23.05.01
무신사스탠다드,2028327,사이즈 딱 맞고 스타일도 맘에 듭니다 색깔도 좋습니다,5,22.06.29
무신사스탠다드,2028327,제스펙에는 세미와이드 느낌입니다. 키 작으신 분들은 딱 맞을듯 싶어요~,5,22.04.01
무신사스탠다드,2028327,제스펙에는 세미와이드 느낌입니다. 키 작으신 분들은 딱 맞을듯 싶어요~,5,22.04.01
무신사스탠다드,2028327,진짜 제가 딱 원하는 핏이네요. 허벅지가 조금 두꺼워서 걱정했는데 진짜 좋네요,5,21.08.11
무신사스탠다드,2028327,깔끔하고 예뻐요 무난하게 잘 입을꺼같네요 굿입니다,5,22.05.18
무신사스탠다드,2028327,정말 진짜 역시 무신사제품은 무조건 짱인거같아요 타 브랜드보다 품질도 우수하고 가성비도 좋으면서 트렌드에,5,23.06.08
무신사스탠다드,2028327,너무 좋아요 근데 허리가 살짝 커서 174/64 분들은 29/28정도가 좋은 것 같아요.,4,22.08.09
무신사스탠다드,2028327,"바지 핏 색감 두께 등 모든 퀄리티가 이 가격대에 만날 수 있는 데님에서 원탑입니다, 바지에 큰 돈 안들이고 이쁜",5,21.09.22
무신사스탠다드,2028327,배송빠르고 핏도 좋아서 잘 입고다닐것같습니다,5,23.04.14
무신사스탠다드,2028327,직접받아서 입어보니까 핏도좋고 아주좋습니다 자주입을것같네요 좋습니다,5,23.07.11
무신사스탠다드,2028327,"옷감이 생각보다 두꺼워요 스카이블루랑 같은 사이즈 주뭄했는데 허리,엉덩이가 작아서 늘렸어요",5,23.04.18
무신사스탠다드,2028327,스트레이트핏을 선호해서 구매해봤는데 퀄리티도 좋고 핏도 너무 마음에 드네요. 사이즈는 정사이즈 갔습니다.,5,23.03.01
무신사스탠다드,2028327,사진을 좀 잘못찍었는데 기장이랑 허리가 잘맞아서 편하대요,5,22.09.01
무신사스탠다드,2028327,사진을 좀 잘못찍었는데 기장이랑 허리가 잘맞아서 편하대요,5,22.09.01
무신사스탠다드,2028327,옷이 너무 약해요 운전하다가 차에서 내리는데 그냥 찢어져 버리네요... 얼마나 당황했는지 몰라요,1,21.11.06
무신사스탠다드,2028327,항상 무신사 하의 28~29입는 사람입니다.,5,23.06.23
무신사스탠다드,2028327,한사이즈 업해서 사는거 추천,5,22.04.23
무신사스탠다드,2028327,진짜 너무 예쁜 바지에요 부산여행때 야무지게 입었답니다ㅎㅎ다른색도 사고싶어지네요,5,22.08.15
무신사스탠다드,2028327,실물 색은 사진과 거의 비슷하다고 보면 되고 핏이 딱 이쁘게 떨어지네요. 스트레이트로 벨트안매고 길이감 신발딱,5,22.05.22
무신사스탠다드,2028327,색깔 예쁘고 데일리로 아주 예쁜거같아요 강추입니다!,4,21.09.02
무신사스탠다드,2028327,여름계절에 맞게 너무 시원한 색감을 가지고 있고 활동성도 편해서 만족합니다.,5,23.06.25
무신사스탠다드,2028327,제가 입어본 청바지 중에 제일 만족합니다! 마른 저의 체형도 잘 보완해 주는 핏이구요 구매할때 봤던 사진보다 더,5,23.06.23
무신사스탠다드,2028327,오빠 주려고 샀는데 제가 더 애용합니다.. 제것도 조만간 살려구요^0^,5,23.02.17
무신사스탠다드,2028327,핏 좋고 재질 좋고 색감도 딱 상세페이지 보이는 느낌 그대로입니다,4,23.04.14
무신사스탠다드,2028327,핏 좋고 재질 좋고 색감도 딱 상세페이지 보이는 느낌 그대로입니다,4,23.04.14
