브랜드,의류코드,리뷰,별점,작성일
무신사스탠다드,2028327,핏이 이쁩니다 마음에 들어요 정사이즈이거나 정사이즈보다 반치수 작아요.,0,24.10.26
무신사스탠다드,2028327,디자인도 예쁘고 핏도 좋은거 같습니다,0,24.10.24
무신사스탠다드,2028327,기본 청바지 필요해서 샀는데 오랫동안 잘 입을거같아요!,0,24.10.24
무신사스탠다드,2028327,컨버스 반스류의 스니커즈와 궁합이 좋은 것 같고 날씨 너무 촙지 않을땐 롤업해서 크롭으로 입어도 좋을 갓<br>같아요,0,24.10.24
무신사스탠다드,2028327,"살짝 여유 있으나 와이드는 아닌 딱 원하던 그 핏입니다.<br>허리, 기장 살짝 여유있네요.<br>가격 대비 이만한 제품은 없는거 같네요.",0,24.10.24
무신사스탠다드,2028327,컨버스 반스류의 스니커즈와 궁합이 좋은 것 같고 날씨 너무 촙지 않을땐 롤업해서 크롭으로 입어도 좋을 갓<br>같아요,0,24.10.24
무신사스탠다드,2028327,"살짝 여유 있으나 와이드는 아닌 딱 원하던 그 핏입니다.<br>허리, 기장 살짝 여유있네요.<br>가격 대비 이만한 제품은 없는거 같네요.",0,24.10.24
무신사스탠다드,2028327,살이 쪘는데 타이트하게 맞긴 하지만 ㅎㅎ 그래도 나름 이쁜 핏이에요,0,24.10.24
무신사스탠다드,2028327,배가 있어 바지가 골반에 걸쳐지긴하지만<br>편하게 잘 입고 다녀요,0,24.10.23
무신사스탠다드,2028327,길이감 적당해서 그냥 입으려구요 평상복으로 최고일듯,0,24.10.22
무신사스탠다드,2028327,밝은 색의 청바지로 깔끔하게,0,24.10.21
무신사스탠다드,2028327,수원화성 놀러갈때 입었어요!<br>저녁 전에 가서 그렇게 덥지 않았고<br>워커나 에어포스에 어울려요!...더보기,0,24.10.21
무신사스탠다드,2028327,이 가격에 핏이 너무 이쁜데요? 색깔별로 쟁여두고 싶네요,0,24.10.21
무신사스탠다드,2028327,생각보다 핏 괜찮음,0,24.10.21
무신사스탠다드,2028327,#무신사 스탠다드 스트레이트 데님팬츠 #닥터마틴 첼시,0,24.10.21
무신사스탠다드,2028327,무탠다드 데님<br>배송 빠르고 좋습니다<br>사이즈도 딱 맞네요,0,24.10.20
무신사스탠다드,2028327,무탠다드 데님<br>배송 빠르고 좋습니다<br>사이즈도 딱 맞네요,0,24.10.20
무신사스탠다드,2028327,#무신사 데님 스트레이트<br>#보세티셔츠,0,24.10.20
무신사스탠다드,2028327,"컨버스 척70, 무신사 모크넥 니트 블랙",0,24.10.20
무신사스탠다드,2028327,,0,24.10.20
무신사스탠다드,2028327,핏이 죽이네여. 그냥 무신사 왜사는지 알겠네요. 깔별 구매예정,0,24.10.19
무신사스탠다드,2028327,#흰티#남자청바지,0,24.10.19
무신사스탠다드,2028327,정말 기본템으로 입기 좋아요,0,24.10.19
무신사스탠다드,2028327,편해,0,24.10.19
무신사스탠다드,2028327,바지 핏이랑 길이가 좋아요 색감도 좋고 추천합니다,0,24.10.18
무신사스탠다드,2028327,좋은 제품입니다 꾸준히 잘 착용하고 있어요 맘에 들어요,0,24.10.18
무신사스탠다드,2028327,저렴한 가격에 핏 품질 다 마음에 듭니다. 꼭 구매하시지요. 추천합니다.,0,24.10.18
무신사스탠다드,2028327,저렴한 가격에 핏 품질 다 마음에 듭니다. 꼭 구매하시지요. 추천합니다.,0,24.10.18
무신사스탠다드,2028327,"제 키에 길이는 수선 필요없이 딱 맞습니다. 다른 브랜드에 비해 36인데 조금 타이트한 느낌인데요, 입다보면<br>늘어날거라고 생각합니다. 가격 생각하면 불만없이 입을만하고 여름에 입기에는 두껍네요.",0,24.10.17
무신사스탠다드,2028327,29는 허리랑 허벅지가 약간 꼈는데 30인치는 어느정도 여유 있네요~,0,24.10.17
무신사스탠다드,2028327,핏감도 괜찮고 길이감도 굿입니다. 무난무난 여름 제외 휘뚜루 마뚜루 입기 굿,0,24.10.17
무신사스탠다드,2028327,허벅지가 있는 편인데 잘 맞고 허리도 잘맞아요 색상이뻐요,0,24.10.17
무신사스탠다드,2028327,이가격대에 이정도 퀄이라니 옷이 많아도 이건 무조건 사야합니다!! 추천,0,24.10.17
무신사스탠다드,2028327,파랑인간,0,24.10.17
무신사스탠다드,2028327,가성비 정말 좋아요<br>역시 무탠다드 입니다<br>요즘 와이드 핏만 입다가 스트레이드핏 입으니 괜찮네요 ㅎㅎ,0,24.10.16
무신사스탠다드,2028327,오늘 온 무탠다드,0,24.10.16
무신사스탠다드,2028327,,0,24.10.16
무신사스탠다드,2028327,기본템인데 할인하길래 바로 구매했어요. 그냥 일자핏이라 마음에 들어용!,0,24.10.15
무신사스탠다드,2028327,기본템인데 할인하길래 바로 구매했어요. 그냥 일자핏이라 마음에 들어용!,0,24.10.15
무신사스탠다드,2028327,,0,24.10.15
무신사스탠다드,2028327,딱떨어지네요 굿,0,24.10.15
무신사스탠다드,2028327,믿고 입는 무탠다드 입니다,0,24.10.15
무신사스탠다드,2028327,잘 맞아요^^,0,24.10.15
무신사스탠다드,2028327,엉덩이 허벅지기 끼여 31에서 33교환 했어요<br>사이즈 작습니다 참고,0,24.10.15
