브랜드,의류코드,리뷰,별점,작성일
모드나인,1037219,세탁하니까 온통 빨건색으로 도배됬습니다.,1,20.06.14
모드나인,1037219,사실 생각했던거보다 조금 여유있는 핏이여서 약간 아쉽긴한데 목 높은 하이 신발류나 굽 좀 있는 러너에 입으니,3,21.01.27
모드나인,1037219,소문에 비해 가격생각하면 별로인듯,2,20.03.27
모드나인,1037219,174/73 32 사이즈 잘 맞아요,1,21.07.23
모드나인,1037219,: 이게 크롭은 아닌것같은데 ㅇㅅㅇ; 암튼 크롭임,3,20.09.26
모드나인,1037219,불량교환인데 교환 전 상품보다 더 후진 워싱감에 색감..불량상품 받은 고객 품 확인하고 신경 좀 씁시다.. 아에,1,20.03.13
모드나인,1037219,유명한 이유가 있어요,3,20.02.16
모드나인,1037219,핏은 좋은데 개체 차이때문에 운좋게 자기한테 맞는 사이즈가 와야,1,19.11.02
모드나인,2107115,모드나인 바지를 자주 사봤어서 사이즈 감을 잘 알기에,2,23.04.06
모드나인,2107115,다들 괜찮다해서 사봤는데 이거보단 턴미온 블랙이나 다른 와이드 데님 블랙이 이쁠거 같아요! 그리고 사이즈는,3,22.08.31
모드나인,1573215,왜... 모드나인 바지 살 때마다 스트레스 받을까,3,22.04.02
모드나인,1573215,"크랙 워싱이 너무 흐리멍텅한 개체가 와서 하나 더 시켰는데,",2,22.07.22
모드나인,1573215,모드나인 개체차이 걱정만 했고 설마 설마 했지만 이정도 인가요?????,1,21.06.23
모드나인,1573215,교환했는데 왜 또 중청이 오는거야,2,22.04.02
모드나인,1573215,"평에비해 기대를 너무했는지 핏,기장감 다 별로였음 페이탈리즘 5만원대가 더 자주입게됨 사진실물동일하면",2,22.09.02
모드나인,1573215,모드나인의 역작이니 뭐니 사람들이 하도 칭찬해서 한번 사봤는데.. 이게 뭔가요.. 밑위는 짧아서 불편하고 잠구는,2,22.07.23
모드나인,1573215,핏이나 그런건 다 좋은데 색감이 너무너무 다르네요 완전 중청이 와서 놀랐어요 모드나인 바지 사면서 개체차이,3,22.05.21
모드나인,1219189,허벅지 엉덩이 부분이 여유있게 나왔습니다. 마른 분들은 이쪽이 울수도 있습니다.,3,21.03.11
모드나인,1219189,모드나인 밤비유명해서 기대했는데 제 체형엔 안맞아요 허벅지에비해 허리가 너무 작아요,3,20.11.25
모드나인,1219189,생각보다 얇고 무릎발사도 심함 허벅지 통도너무 크게나와서 붕뜨고 엉덩이꽉껴서 답답함,3,20.06.04
