브랜드,의류코드,리뷰,별점,작성일
모드나인,1037219,첫착용시 '어~ 좀 작은가?'했는데 입고나니 편안하고 약간의 신축성도 느껴집니다. 기장은 부츠와도 잘어울리고,5,20.07.15
모드나인,1037219,펑크타운 다들 이쁘다길래 구매했는데 기대한 만큼 너무 만족합니다.,5,20.03.02
모드나인,1037219,저로 말씀드리면 178/71 상체발달이랑 허벅돼입니다. 평소 착용한는 허벅지사이즈가 31.5~32 인 바지,5,20.02.08
모드나인,1037219,"청바지의 정석입니다. 모드나인 모든바지 29입는데 기장, 허벅지 때문에 30사이즈 갔는데 다행히 잘 맞네요.",5,20.08.26
모드나인,1037219,그냥 저는 앞으로 모드나인에서만 열혈모드로 청바지 살렵니다.,5,20.02.12
모드나인,1037219,그냥 저는 앞으로 모드나인에서만 열혈모드로 청바지 살렵니다.,5,20.02.12
모드나인,1037219,평상시 모드나인 크롭4 입던대로 시켰어요.,5,20.09.10
모드나인,1037219,수선 안하고 핏 십지리게 잘 맞습니다.,5,20.10.06
모드나인,1037219,정말 몇달을 살까말까 여기저기 후기찾아보고 난리폈었는데 그시간들이 아깝네요. 저처럼 구매를 고려하실분들에,5,20.12.02
모드나인,1037219,핏 너무 마음에 드네요 역시 믿고 사는 모드나인입니다,5,22.02.01
모드나인,1037219,안녕하십니까,4,20.10.08
모드나인,1037219,남자 기본 중청 괜찮네요,5,21.02.28
모드나인,1037219,유튜브에서 추천해주길래 샀어요. 제가 말라서 인터넷에서 시킨 바지는 안 맞는 제품들이 많았는데 입어보니,5,20.09.05
모드나인,1037219,33이랑 32이랑 고민 하신분들 있을꺼 같은데 저는 허벅지가 조금 있는편이라{mod9 ss 33입음(허벅지 30.5)},5,21.04.07
모드나인,1037219,역시 펑크타운입니다,5,21.07.16
모드나인,1037219,딱 제가 원하던 핏이 나와서 너무 만족하고있습니다~ 블레이저랑 입어도 너무 잘 어울릴거같습니다!,5,21.04.07
모드나인,1037219,사실 별 기대 안하고 그냥 사람들이 이쁘다이쁘다해서 뭐 얼마나 이쁘나 한번보자 싶어서 사봤는데 만족해요.,5,20.01.03
모드나인,1037219,크롭라인은 4가 최고인거같네요 33에서 허리줄이다 망해서 31로 다시 구매했습니다,5,20.09.09
모드나인,1037219,총겨눠서 손들고있는거 아니구요 그냥 포즈가 저렇습니다.,4,20.02.09
모드나인,1037219,색감최고에요 기장 4센치 수선했습니다,5,20.08.30
모드나인,1037219,세탁하니까 온통 빨건색으로 도배됬습니다.,1,20.06.14
모드나인,1037219,"핏, 색감, 사이즈 모두 맘에 들어요.역시 펑크타운이예요.",5,21.03.29
모드나인,1037219,실착 후 뒤늦게 구매한 걸 후회했습니다.. 소유 중인 데님 중 핏이 제일 좋네요,5,20.03.27
모드나인,1037219,"날이 더워져서 지금보다는 가을, 겨울에 입으면 더 예쁠 거 같습니다만 모드나인의 데님은 계절 불문하고 다",5,19.05.29
모드나인,1037219,아버지 선물해드렸는데 탄탄하게 잘 맞고 괜찮다고 하시더라구요! 사이즈 참고하셔서 사시면 좋을 거 같아요!,5,21.09.07
모드나인,1037219,아버지 선물해드렸는데 탄탄하게 잘 맞고 괜찮다고 하시더라구요! 사이즈 참고하셔서 사시면 좋을 거 같아요!,5,21.09.07
모드나인,1037219,모드나인 펑크타운 역시 유명한 이유가 있네요 정말깔끔하고 예뻐요 크롭이긴한데 기장은 좀 짧아요 ㅜㅜ,5,21.03.19
모드나인,1037219,슬림핏 청바지인데도 전혀불편함 없고 진짜 핏하나는 쥑여줍니다 .,5,20.10.04
모드나인,1037219,어디에나 중청 바지로 이거보다 좋은건 없는거 같아요 ㅋㅋ,5,20.10.03
모드나인,1037219,역시 모드나인 펑크타운이네요,5,21.04.11
모드나인,1037219,허벅돼에 오다리인데 마음이 드는 청바지 태어나서 처음입니다,5,20.01.28
모드나인,1037219,정말 아름다운 바지네요. 진짜 실물깡패라서 강추드립니다. 저는 몸이 큰 관계로 제가 입기에는 조금 작은,5,20.09.25
모드나인,1037219,역시 청바지는 모드나인 편하고 핏 이쁩니다. 무릎발사는 좀 더 지켜봐야 알 것 같아요.,5,21.11.10
모드나인,1037219,색도 이쁘고 핏감도 좋네요. 다리 두꺼운데 잘 가려주는 듯해욤,5,20.05.24
모드나인,1037219,무탠다드 블레이져랑 입었는데 잘 어울리는 것 같네요!,5,20.03.12
모드나인,1037219,색감 그렇게 확 진하지도 않고 부담없이 슬림핏으로 이쁘게 입을 수 있어서 좋습니다.,5,22.08.29
모드나인,1037219,색감 그렇게 확 진하지도 않고 부담없이 슬림핏으로 이쁘게 입을 수 있어서 좋습니다.,5,22.08.29
모드나인,1037219,운동해서 허벅지가 두꺼운편인데 커버 되고 다리도 길어보여요 색깔도 맘에 들고 최고,5,21.01.26
모드나인,1037219,가죽패치 이염때문에 두번 구매중ㅜ,5,20.08.28
모드나인,1037219,입고가면 여자친구가 반해서 결혼하자고 할까봐 입고나가진않았는데 입고 나가니 청혼하네요 ㅋ,5,22.02.12
모드나인,1037219,핏 진짜 너무 좋고 색감도 딱 좋아요 어디에나 코디 다 가능하고 좋네요,5,21.04.05
모드나인,1037219,"중청보다는 약간 더 진한 청바지, 크롭된 기장으로 캐쥬얼한 스타일 입니다. 통 기장 제기준으로 좋습니다.",5,21.03.27
모드나인,1037219,바지 색상이나 스타일은 너무 예뻐요 하지만 길이가 조금 길어서 수선했어요 밑단은 살리고 수선하는 거,5,21.03.27
모드나인,1037219,평소 허리 40~41cm희망하고 허벅지는 31-32cm희망하는데 허리에 맞추면 31사이즈 허벅지에 맞추면,5,21.03.07
