브랜드,의류코드,리뷰,별점,작성일
브랜디드,978464,다른 브랜드 크림진도 구매했지만 항아리핏이 심했는데,4,19.09.23
브랜디드,978464,요즘 아이보리인 많이들 나오는데 브랜디드 상품보자마자,5,19.04.17
브랜디드,978464,174/74 상체만발달 노수선 30사쥬,5,19.08.08
브랜디드,978464,같이 입는건 실패 같네요 ㅎㅎ... 컨버스나 스니커즈류가 더 잘어울릴듯합니다,4,19.09.22
브랜디드,978464,같이 입는건 실패 같네요 ㅎㅎ... 컨버스나 스니커즈류가 더 잘어울릴듯합니다,4,19.09.22
브랜디드,978464,street갬성충만!!,5,20.01.02
브랜디드,978464,정말 만족쓰한 핏이고 소재가 빳빳하고 가운데 세로줄이 있어서 댄디하고 조금 길어보이는 효과도 있다구~~,5,19.10.07
브랜디드,978464,"제가 원하던 핏, 색상 다 갖추었네오 ㅋㅋㅋㅋㅋ 사길 잘한 것 같아요~.",5,19.05.30
브랜디드,978464,첫 크림진 브랜디드로 갔는데 핏 너무 이쁩니다. 특히 앞에 칼주름이 포인트,5,20.03.08
브랜디드,978464,색도 원하던 밝은 색이구요!,5,19.11.08
브랜디드,978464,친구 선물로 사줬는데 허벅지돼지라 많이,5,20.11.29
브랜디드,978464,179.63,5,20.02.27
브랜디드,978464,정말 좋습니다 무신사는 정말 품질좋습니다 다음에 재구매예약,5,19.11.24
브랜디드,978464,"진짜 제가 현실핏입니다.. 사진 보정하는 매루치애들, 구매욕구 떨어트리는 후기 사진들에 속지마세요^^",5,20.12.10
브랜디드,978464,34사이즈 입으니 편하게 맞네요 다리가 좀 굵어서 ㅋㅋ 바지 두꺼워서 한여름 빼고 좋어요,5,20.08.23
브랜디드,978464,34사이즈 입으니 편하게 맞네요 다리가 좀 굵어서 ㅋㅋ 바지 두꺼워서 한여름 빼고 좋어요,5,20.08.23
브랜디드,978464,가성비 착용감 사이즈 전부 만족합니다,5,19.05.05
브랜디드,978464,28사이즈는 허벅지가 껴서 30 사이즈로 바꿨는데 편하고 이쁘고 좋아요 제 스펙이신 분들은 30 하시면 될 것,5,19.09.05
브랜디드,978464,아주좋아요 !! 넓지도 좁지도 않은 통이라 좋습니다,5,21.05.03
브랜디드,978464,첼시부츠와 매치했을때 가장 빛을 보이는 바지라고 생각합니다,5,21.01.25
브랜디드,978464,"깔끔한 핏이에요. 무난하게 입기도 좋고, 두께도 괜찮아요.",5,19.11.30
브랜디드,978464,175 70 30사이즈 시켰는데 허리 살짝 작네요 살빼야될듯 ㅠ,5,19.09.22
브랜디드,978464,인생바지입니다.,5,19.06.05
브랜디드,978464,좋아요 깔끔 그 자체 색감 굳 핏 굳,5,19.06.28
브랜디드,978464,허리가 살짝 타이트하지만 핏 이쁘게 떨어지고 데일리로 활용하기 좋아요,5,21.03.20
브랜디드,978464,아름다운 크림진..,4,20.10.05
브랜디드,978464,아름다운 크림진..,4,20.10.05
브랜디드,978464,아주 좋네요 각잡혀있는거부터 핏까지 맘에들어요,5,20.01.20
브랜디드,978464,두께감이 있어서 여름에 입기는 덥네요,5,19.08.23
브랜디드,978464,재질도 좋고 핏도 좋고 기장도 잘 맞네요 많이 파세용,5,21.03.18
브랜디드,978464,길이도 적당하고 색감이 이쁘네요 자주 입을거같습니다,5,21.03.08
브랜디드,978464,헬스맨이여서 허벅지에 맞추어 바지를 입습니다,5,21.02.26
브랜디드,978464,"40대 입니다,조금 영한 느낌은있지만 우선 핏도이쁘고 가을겨울용으로 크림진 필요하심 구매해도 좋을듯",4,21.02.19
브랜디드,978464,"이 바지, 내 favorite. 딱 나랑 잘 어울려요",5,19.09.10
브랜디드,978464,사이즈 핏감 기장 다 마음에 들었습니다. 득템했네요,5,21.05.30
브랜디드,978464,사이즈 체크가 어려워서 그냥 평소입던 사이즈 주문했는데 핏 딱 잘 떨어져요,5,21.03.21
브랜디드,978464,원단 핏 모두 만족스러운 최고의 크림진입니다ㅎㅎㅎ 특히 앞 주름은 신의 한수...,5,19.04.07
브랜디드,978464,재질이며 핏이며 만족스럽습니다. 크림바지 남바완,5,19.04.05
