브랜드,의류코드,리뷰,별점,작성일
토피,858911,이렇게 축 늘어지는 기장을 원했어요.모델들 다 이렇게 입는거 맞죠?정말 이쁘네요 잘 입겠습니다!!,5,20.02.15
토피,858911,강아지도 맘에 드는지 자기 벗어달라고 달려드네요^^ 스티브잡스 룩,5,19.11.30
토피,858911,딱 맞음 크롭티랑 입어도 핏 진짜이뻐요 다들 사세유,5,21.03.12
토피,858911,와~ 바지가 너무 예뻐서 입대날에도 입었어요 정말 기분 좋네요^^,5,22.04.06
토피,858911,전 초등학교때 청소년 국가대표를 꿈꾸며 아이스 스케이팅을 했습니다. 태릉선수촌에서 금메달 경력도 있어서,4,20.05.25
토피,858911,전 초등학교때 청소년 국가대표를 꿈꾸며 아이스 스케이팅을 했습니다. 태릉선수촌에서 금메달 경력도 있어서,4,20.05.25
토피,858911,와이드중에 진짜 너무 이쁘고 좋아요 토피가 와이드 인기많은이유알겠네여 근데 생각보다 좀 많이 크네요,5,20.03.01
토피,858911,완전이뻐요,5,19.08.27
토피,858911,색감 좋고 핏 좋고 만족합니다.,4,19.09.02
토피,858911,밑위가 타이트해서 추리닝처럼 편하진 않음,5,20.09.30
토피,858911,하비라 바지 고르기 어려운데 토피 핏 너무 맘에드네요 너무 펑퍼짐하지듀 않고 몸매를 잘 살려주는거 같아요!,5,21.09.14
토피,858911,바지 살때 허리에 맞추는데 사이즈표 보고 m갔다 너무커서 s로 교환 하니까 잘 맞습니다 기장도 적당하고 이뻐요,5,19.07.08
토피,858911,바지 핏도 예쁘게 나오고 수선 안 해도 기장 딱 좋네요,5,20.04.14
토피,858911,세상에 이런일이 드ㅇㅇ핏 와이드 데님을 샀는데 그 데님은 제 빵실한 궁댕이에 의하여 째졌습니다 재질이 좀 약한,5,19.10.19
토피,858911,굳잡 생각하던 핏 예스베이베 걸그룹을 밋밋한 빵댕이로 만들어버릴정도의 내 커다란 빵댕이에게 숨 쉴 공간을 줄,5,21.10.29
토피,858911,"입문용 와이드 팬츠로 좋습니다. 색감은 연청, 중청 사이느낌? 이고 허리는 좀 넓게 나온 편입니다. 두께는 얇은",5,21.04.03
토피,858911,허벅지가 두꺼워서 한치수크게샀더니 길이가 길더라구요,5,20.02.04
토피,858911,일부러 크게 입으려고 전에 산 회색(s)보다 큰 사이즈로 샀는데 그냥 s 샀어도 괜찮았을 것 같아요. 기장은,5,20.11.03
토피,858911,실제 색감 : 연청이라기 보다는 중청에 가깝지만 연한 편,5,19.02.25
토피,858911,불량품이네요. 기장 수선하기 전에는 몰랐는데 수선하고 나서 입어보니 옷이 좀 삐뚤한게 느껴져 확인해보니깐,1,21.09.24
토피,858911,"바지 색감 너무 좋아요 제가 딱 원하던 청바지색 근데 두세번 입었다고 무릎발사되네요... 이건 좀,,",4,21.03.10
토피,858911,처음으로 와이드핏 바지 입어보는데 정말 핏 이쁘게 떨어지네요 히히 좋습니당,5,19.09.14
토피,858911,오잉????,1,20.10.06
토피,858911,이런 바지 처음 입어봐서 그런데 이런 핏이 맞나용??,5,21.03.12
토피,858911,고양이가 좋아할만한 바지네요,4,20.10.14
토피,858911,고양이가 좋아할만한 바지네요,4,20.10.14
토피,858911,통 핏 기장 너모 이쁩니다,5,19.09.12
토피,858911,재질이 일단 너무 좋고 핏도 괜찮아요 입문용 와이드로 제격인듯합니다,5,21.01.20
토피,858911,착용해보고 만족해서 지인 생일에 선물해줬어요!!,5,22.02.13
토피,858911,허리가 크지만 옷 넣어서 입으면 괜찮아요. 기장이나 핏 완전 마음에 들어요◡̈ 롤업해서 입어도 귀엽습니당,5,21.08.31
토피,858911,일단 가격 면에서나 상품은 나쁘지 않습니다,4,20.01.23
토피,858911,허벅지가 두꺼우신분들도 입으실수 있는 바지입니다. 전체적으로 만족합니다,5,20.09.01
토피,858911,가격대비 괜찮구요. 몇번 입진 않았는데 조금 주름이 많이 가긴 했네요. 색이나 사이즈는 상품정보랑 거의,4,20.02.16
토피,858911,인생바지에요 벌써 3개째 사고있네요 다들 하나씩 장만하십쇼,5,20.01.29
토피,858911,진짜 너무너무너무 이쁜!! 가성비아니어도 이쁜! 바지인것같습니다 ㅎ,5,21.11.15
토피,858911,복고맨입니다. 확실히 기장이 긴감이 없지않아있네요 좋습니다,4,20.01.25
토피,858911,복고맨입니다. 확실히 기장이 긴감이 없지않아있네요 좋습니다,4,20.01.25
토피,858911,178cm L사이즈 구매,5,20.01.24
토피,858911,182/73 m 갔어용 허리는 조금 남네요 ㅠㅠ 기장도 적당하고 아무래도 옷이 옷이다보니까 다리도 길어보이고,5,19.10.09
토피,858911,사이즈도 좋고 정말 색감도 예뻤어요. 여름에 흰 티랑 입어도 잘 어울릴듯해요. 저는 크게 입는 걸 좋아해서 벨트를,5,21.04.10
토피,858911,바지 되게편하구 자주입게되네요,5,20.11.14
토피,858911,바지 자크쪽에 돌기가없어서 잠그지를 못합니다,2,20.04.05
토피,858911,운동한 체형이라 허벅지 안맞을까 걱정했는데 드뎌 제가 원하는 핏을 찾앗네요 다리 길어보이고 좋아요,5,21.09.11
토피,858911,바지 길이가 너무 길어서 저는 길이 수선을 해서 입고있는데 롤업 해도 안 해도 와이드 핏으로 입기 딱 좋네영,5,21.04.04
토피,858911,정말 인생바지 구한듯 색상별로 다 살거에요 고마워요,5,20.02.02
토피,858911,색감도 좋구 핏도 너무 잘 빠져서 잘 입고 다닐거같아요 !!,5,21.06.16
토피,858911,재질 핏 너무좋네요 그레이에 이어서 이색까지 삿어요 !,5,20.04.05
토피,858911,재질 핏 너무좋네요 그레이에 이어서 이색까지 삿어요 !,5,20.04.05
토피,858911,이쁘내요 토피 다른색깔도 사야겟어요 롤업해서 하니깐 더니쁘,5,21.09.18
토피,858911,싸서 샀는데 생각보다 핏감 좋고 기장이 별로 안길어서 수선 필요없을것같아요 굿,2,21.01.25
토피,858911,다리가 짧아서 s를 시켰는데 허벅지는 살짝 끼는 것 같은데 길이랑 통은 딱 마음에 들어요! 자주 입을 것 같습니다,5,20.10.12
토피,858911,일단 핏이 너무 이뻐요,5,23.03.14
토피,858911,와이드 데님 갖고 싶어서 샀는데 만족합니다! 다리가 짧은 저에겐 좀 길어서 기장 수선을 해야겠지만요^^ xs,5,21.08.20
토피,858911,역시 가성비 갑 !! 자주 애용 하고 있습니다 ㅎㅎ 적극 추천 드려요 ~,5,21.04.11
토피,858911,통 큰거 입으니까 편해용 처음 오면 새바지 냄새 넘 심함,5,19.05.09
토피,858911,s를 샀음에도 불구하고 기장이 긴감이 있네요 줄여서 입었는데 너무 이쁩니다 :),5,21.07.11
토피,858911,길이는 생각보다 길었지만 롤업해서 입으니 이뻐서 많이 입고 다닐듯 합니다,5,21.05.09
토피,858911,편해서 너무 좋은거 같아요 진작에 살걸 그랫네요,5,20.05.27
토피,858911,생각보다 밝은색이어서 놀랐지만 사이즈도 딱맞고 이뻐요 흑청바지는 사이즈가 좀 컸었는데 이건 딱맞아요,5,20.04.30
토피,858911,바지 색감이 생각보다 밝아요 통이 많이 넓지도 않고 완전 좋아요,5,21.05.30
토피,858911,와이드 팬츠 입문하려고 제일 인기많으누데님으로 구매했은데,4,21.02.10
토피,858911,레이어드하면 진짜 미치도록 이쁩니다 정말 다 사세용!,5,20.04.15
토피,858911,키와 몸무게는 맞는데 허리가. ㅎㅎ,5,22.02.07
토피,858911,이뻐요 와이드보단 세미와이드 느낌이 강한 거 같아요. 근데 처음에 제 발냄새랑 비슷한 냄새가 너무,5,21.06.14
토피,858911,데님이 거친 느낌보다 보들보들한 느낌이 강하고 라이트 블루 색상이 생각보다 밝아요 연청 느낌이 강하고 신발에,5,21.02.26
토피,858911,가성비 좋아요. 데일리로 입기에 부담 없어서 좋습니당,5,20.08.28
토피,858911,"길이 너무 길어서 줄였어요 ,,,,, 엉엉 8ㅁ8",5,20.05.16
토피,858911,생각했던 것보다 핏이 괜찮았어요 기장만 줄였어요,5,22.06.04
토피,858911,생각했던 것보다 핏이 괜찮았어요 기장만 줄였어요,5,22.06.04
토피,858911,롤업해도 핏이 정말 이쁘게 빠집니다 구매하시면 후회,5,21.11.30
토피,858911,기장 줄였어서 다시 주문했는데 이제 보니 그냥 입는 것도 괜찮네영,5,21.10.25
