브랜드,의류코드,리뷰,별점,작성일
토피,858911,제 신체사이즈와 옷의 사이즈가 적당하며 웬만한 옷들과 어울릴 것 같습니다.,0,24.10.23
토피,858911,색상 좋고 가격 좋고 핏 좋고 후기기 많은 이유가 있음,0,24.10.21
토피,858911,깔끔하고 이쁩니다 앞으로 자주 입을 것 같습니다😄,0,24.10.17
토피,858911,네이비랑 연청데님은 실패없는 조합이네요!!,0,24.10.15
토피,858911,163 s사이즈 좀 커서 접어입으면 딱 맞을거같아요😄,0,24.10.12
토피,858911,네이비랑 연청데님은 실패없는 조합이네요!!,0,24.10.15
토피,858911,163 s사이즈 좀 커서 접어입으면 딱 맞을거같아요😄,0,24.10.12
토피,858911,색감 길이 핏 전부 마음에들어요 데일리로 편하게 입기 너무 좋습니다.!,0,24.10.12
토피,858911,,0,24.10.11
토피,858911,청바지 아주 잘 입고 있어요 최고입니다,0,24.10.06
토피,858911,#토피 #와이드데님,0,24.10.06
토피,858911,핏 맘에듭니다. 너무 이쁘네용ㅎㅎ,0,24.10.05
토피,858911,사이즈도 딱맞고 어느 옷에나 잘어울려요 구매 강추합니다!,0,24.10.03
토피,858911,너무 이뻐버려요,0,24.09.29
토피,858911,,0,24.09.29
토피,858911,제가 원하던 핏보단 살짝 작음 기장은 괜찮음 색감 좋은 가성비good,0,24.09.29
토피,858911,너무 이뻐버려요,0,24.09.29
토피,858911,,0,24.09.29
토피,858911,제가 원하던 핏보단 살짝 작음 기장은 괜찮음 색감 좋은 가성비good,0,24.09.29
토피,858911,,0,24.09.29
토피,858911,사이즈가 딱 좋고 핏도 아주 좋습니다 구매 하세요~~,0,24.09.20
토피,858911,색상과 핏 모두 생각대로여서 맘에 듭니다.<br>색은 후기 사진보다 밝습니다.<br>허리는 딱 맞습니다....더보기,0,24.09.10
토피,858911,"사이즈도 너무잘맞고, 바지 색감이 너무좋아요!@",0,24.09.03
토피,858911,믿고 입는 토피 바지! 2년 전에 사고 또 삽니당 색은 보는 거랑 똑같은 것 같고 저에게 기장은 길어서 좀<br>잘랐습니다! 진짜 핏 짱 이쁘다고 난리임!!,0,24.08.25
토피,858911,저랑은 진짜 안 어울려서 그냥 안 입을려고요 엉덩이 조금 크고 허벅지 있는 편인데 네 그냥 저한테 안 어울려요,1,24.11.17
토피,858911,벨트사서 착용하자마자 버클 분리되서 쓰지도 못합니다. 사지마세요--;;,1,24.10.05
토피,858911,상세사이즈 +- 오차가 있다지만 S사이즈 인데 줄자로 수십번 재 봐도 치수가 XS상세사이즈 보다 작게<br>나옴.허벅지 단면.밑단 단면.M사이즈로 교환 신청 눌렀다가 교환비 6천원도 아깝지만 M사이즈 허리 줄이는 비용<br>나가고...역시 바지는 무신사 기준 비싸 보여도 브랜디드.모드라인이 정확 함.아오ㅡ열받음.,1,24.02.17
토피,858911,기존 사이즈보다 많이 크게 나온듯하네요 배송도 오래 걸리고<br>이제부터 여기선 다시는 안 살 것 같습니다,1,24.02.08
토피,858911,엉댕이가 너무 껴요 ㅠㅠ 엉덩이가너무커서 낑겨요 ㅠㅠ어쩌누,1,23.11.26
토피,858911,믿고 입는 토피 바지! 2년 전에 사고 또 삽니당 색은 보는 거랑 똑같은 것 같고 저에게 기장은 길어서 좀<br>잘랐습니다! 진짜 핏 짱 이쁘다고 난리임!!,0,24.08.25
토피,858911,저랑은 진짜 안 어울려서 그냥 안 입을려고요 엉덩이 조금 크고 허벅지 있는 편인데 네 그냥 저한테 안 어울려요,1,24.11.17
토피,858911,벨트사서 착용하자마자 버클 분리되서 쓰지도 못합니다. 사지마세요--;;,1,24.10.05
토피,858911,상세사이즈 +- 오차가 있다지만 S사이즈 인데 줄자로 수십번 재 봐도 치수가 XS상세사이즈 보다 작게<br>나옴.허벅지 단면.밑단 단면.M사이즈로 교환 신청 눌렀다가 교환비 6천원도 아깝지만 M사이즈 허리 줄이는 비용<br>나가고...역시 바지는 무신사 기준 비싸 보여도 브랜디드.모드라인이 정확 함.아오ㅡ열받음.,1,24.02.17
토피,858911,기존 사이즈보다 많이 크게 나온듯하네요 배송도 오래 걸리고<br>이제부터 여기선 다시는 안 살 것 같습니다,1,24.02.08
토피,858911,엉댕이가 너무 껴요 ㅠㅠ 엉덩이가너무커서 낑겨요 ㅠㅠ어쩌누,1,23.11.26
토피,858911,사이즈도 사이즈표랑 다르고 와이드도 아니고 별로에요,1,23.11.25
토피,858911,너무 작아요 ^^ㅣ발<br>제발 좀 사지마세요 .<br>여기 ㅈ망했으면 좋겠어요,1,23.09.23
토피,858911,"너무 많은사람들이 입고다닌,ㄴ게 보여요 그래서쩝",1,23.03.25
토피,858911,한번샀던제품이라 같은사이즈로샀는데<br>핏이다름<br>거기에 불량까지 당첨...더보기,1,23.02.21
토피,858911,남자분 중에 173에 68kg 정도 나가는데 s입으면 허리 터집니다.,1,23.02.04
토피,858911,락스냄새가 너무 심각하네요; 맨살에 닿으면 안 좋을것 같아서<br>어떻게든 입어보려고 3번을 섬유유연제랑 같이 세탁해도 냄새가 안없어지는데 이거 문제 있는거 아닌가요?,1,23.02.02
